Cód. Bairros,Nome Bairros,Dia,Mês,Pluviometria
JA,Jabaquara,7,2,28.700000000000003
SA,Santo Amaro,7,2,42.0
VM,Vila Mariana,7,2,52.7
PA,Parelheiros ,7,2,4.5
AD,Cidade Ademar,7,2,28.3
MB,M Boi Mirim,8,2,0.2
CL,Campo Limpo,8,2,0.1
CS,Capela do Socorro,8,2,0.1
IP,Ipiranga,8,2,0.0
JA,Jabaquara,8,2,0.0
SA,Santo Amaro,8,2,0.0
VM,Vila Mariana,8,2,0.0
PA,Parelheiros ,8,2,0.2
AD,Cidade Ademar,8,2,0.0
MB,M Boi Mirim,9,2,2.8
CL,Campo Limpo,9,2,0.4
CS,Capela do Socorro,9,2,0.4
IP,Ipiranga,9,2,0.0
JA,Jabaquara,9,2,0.0
SA,Santo Amaro,9,2,0.2
VM,Vila Mariana,9,2,0.0
PA,Parelheiros ,9,2,0.4
AD,Cidade Ademar,9,2,0.0
MB,M Boi Mirim,10,2,0.8
CL,Campo Limpo,10,2,1.1
CS,Capela do Socorro,10,2,1.4
IP,Ipiranga,10,2,0.6
JA,Jabaquara,10,2,1.7000000000000002
SA,Santo Amaro,10,2,1.6
VM,Vila Mariana,10,2,0.7
PA,Parelheiros ,10,2,5.199999999999999
AD,Cidade Ademar,10,2,2.0
MB,M Boi Mirim,11,2,10.0
CL,Campo Limpo,11,2,7.6
CS,Capela do Socorro,11,2,7.0
IP,Ipiranga,11,2,7.7
JA,Jabaquara,11,2,8.0
SA,Santo Amaro,11,2,8.0
VM,Vila Mariana,11,2,8.2
PA,Parelheiros ,11,2,11.3
AD,Cidade Ademar,11,2,8.6
MB,M Boi Mirim,12,2,37.7
CL,Campo Limpo,12,2,40.2
CS,Capela do Socorro,12,2,38.1
IP,Ipiranga,12,2,37.3
JA,Jabaquara,12,2,54.0
SA,Santo Amaro,12,2,62.9
VM,Vila Mariana,12,2,50.9
PA,Parelheiros ,12,2,21.700000000000003
AD,Cidade Ademar,12,2,61.1
MB,M Boi Mirim,13,2,1.1
CL,Campo Limpo,13,2,2.4000000000000004
CS,Capela do Socorro,13,2,1.8
IP,Ipiranga,13,2,2.3
JA,Jabaquara,13,2,6.300000000000001
SA,Santo Amaro,13,2,3.4000000000000004
VM,Vila Mariana,13,2,0.5
PA,Parelheiros ,13,2,5.9
AD,Cidade Ademar,13,2,5.1000000000000005
MB,M Boi Mirim,14,2,2.1
CL,Campo Limpo,14,2,0.9
CS,Capela do Socorro,14,2,3.3000000000000003
IP,Ipiranga,14,2,1.1
JA,Jabaquara,14,2,5.2
SA,Santo Amaro,14,2,2.4
VM,Vila Mariana,14,2,0.2
PA,Parelheiros ,14,2,3.7
AD,Cidade Ademar,14,2,5.1
MB,M Boi Mirim,15,2,12.7
CL,Campo Limpo,15,2,15.8
CS,Capela do Socorro,15,2,7.9
IP,Ipiranga,15,2,2.5
JA,Jabaquara,15,2,7.2
SA,Santo Amaro,15,2,13.4
VM,Vila Mariana,15,2,3.3000000000000003
PA,Parelheiros ,15,2,2.1
AD,Cidade Ademar,15,2,13.3
MB,M Boi Mirim,16,2,23.6
CL,Campo Limpo,16,2,23.3
CS,Capela do Socorro,16,2,16.6
IP,Ipiranga,16,2,22.1
JA,Jabaquara,16,2,25.4
SA,Santo Amaro,16,2,20.700000000000003
VM,Vila Mariana,16,2,24.200000000000003
PA,Parelheiros ,16,2,13.4
AD,Cidade Ademar,16,2,21.5
MB,M Boi Mirim,17,2,0.4
CL,Campo Limpo,17,2,0.6
CS,Capela do Socorro,17,2,0.0
IP,Ipiranga,17,2,1.3000000000000005
JA,Jabaquara,17,2,0.1
SA,Santo Amaro,17,2,0.2
VM,Vila Mariana,17,2,0.3
PA,Parelheiros ,17,2,0.2
AD,Cidade Ademar,17,2,0.1
MB,M Boi Mirim,18,2,18.1
CL,Campo Limpo,18,2,17.700000000000003
CS,Capela do Socorro,18,2,24.4
IP,Ipiranga,18,2,41.7
JA,Jabaquara,18,2,63.2
SA,Santo Amaro,18,2,45.2
VM,Vila Mariana,18,2,43.3
PA,Parelheiros ,18,2,30.0
AD,Cidade Ademar,18,2,54.4
MB,M Boi Mirim,19,2,14.6
CL,Campo Limpo,19,2,14.0
CS,Capela do Socorro,19,2,19.0
IP,Ipiranga,19,2,20.1
JA,Jabaquara,19,2,20.3
SA,Santo Amaro,19,2,16.500000000000004
VM,Vila Mariana,19,2,21.0
PA,Parelheiros ,19,2,34.2
AD,Cidade Ademar,19,2,19.7
MB,M Boi Mirim,20,2,1.9
CL,Campo Limpo,20,2,1.7999999999999998
CS,Capela do Socorro,20,2,1.3
IP,Ipiranga,20,2,6.8
JA,Jabaquara,20,2,3.8
SA,Santo Amaro,20,2,3.4
VM,Vila Mariana,20,2,10.6
PA,Parelheiros ,20,2,3.3
AD,Cidade Ademar,20,2,1.2
MB,M Boi Mirim,21,2,20.3
CL,Campo Limpo,21,2,16.2
CS,Capela do Socorro,21,2,27.5
IP,Ipiranga,21,2,39.9
JA,Jabaquara,21,2,52.2
SA,Santo Amaro,21,2,50.5
VM,Vila Mariana,21,2,35.5
PA,Parelheiros ,21,2,10.3
AD,Cidade Ademar,21,2,49.7
MB,M Boi Mirim,22,2,0.6
CL,Campo Limpo,22,2,0.1
CS,Capela do Socorro,22,2,1.2
IP,Ipiranga,22,2,2.8000000000000003
JA,Jabaquara,22,2,1.1
SA,Santo Amaro,22,2,1.3
VM,Vila Mariana,22,2,2.5
PA,Parelheiros ,22,2,1.7999999999999998
AD,Cidade Ademar,22,2,0.3
MB,M Boi Mirim,23,2,6.8
CL,Campo Limpo,23,2,16.3
CS,Capela do Socorro,23,2,12.4
IP,Ipiranga,23,2,16.9
JA,Jabaquara,23,2,60.9
SA,Santo Amaro,23,2,56.2
VM,Vila Mariana,23,2,30.3
PA,Parelheiros ,23,2,10.3
AD,Cidade Ademar,23,2,48.7
MB,M Boi Mirim,24,2,0.2
CL,Campo Limpo,24,2,0.3
CS,Capela do Socorro,24,2,1.2
IP,Ipiranga,24,2,0.4
JA,Jabaquara,24,2,1.2000000000000002
SA,Santo Amaro,24,2,0.8
VM,Vila Mariana,24,2,2.3
PA,Parelheiros ,24,2,0.8999999999999999
AD,Cidade Ademar,24,2,0.7
MB,M Boi Mirim,25,2,3.8
CL,Campo Limpo,25,2,4.0
CS,Capela do Socorro,25,2,2.0
IP,Ipiranga,25,2,0.6
JA,Jabaquara,25,2,2.9
SA,Santo Amaro,25,2,2.1
VM,Vila Mariana,25,2,0.4
PA,Parelheiros ,25,2,2.9000000000000004
AD,Cidade Ademar,25,2,3.2
MB,M Boi Mirim,26,2,0.0
CL,Campo Limpo,26,2,0.0
CS,Capela do Socorro,26,2,0.0
IP,Ipiranga,26,2,0.0
JA,Jabaquara,26,2,0.0
SA,Santo Amaro,26,2,0.0
VM,Vila Mariana,26,2,0.0
PA,Parelheiros ,26,2,0.0
AD,Cidade Ademar,26,2,0.0
MB,M Boi Mirim,27,2,0.3
CL,Campo Limpo,27,2,0.1
CS,Capela do Socorro,27,2,0.3
IP,Ipiranga,27,2,0.0
JA,Jabaquara,27,2,0.0
SA,Santo Amaro,27,2,0.0
VM,Vila Mariana,27,2,0.0
PA,Parelheiros ,27,2,2.3
AD,Cidade Ademar,27,2,0.0
MB,M Boi Mirim,28,2,5.3
CL,Campo Limpo,28,2,7.8
