Cod_Bairros,Nome_Bairros,Data,Pluviometria
CL,Campo Limpo,03-02-23,9.8
CS,Capela do Socorro,03-02-23,6.5
IP,Ipiranga,03-02-23,7.199999999999999
JA,Jabaquara,03-02-23,11.9
SA,Santo Amaro,03-02-23,11.8
VM,Vila Mariana,03-02-23,8.4
PA,Parelheiros ,03-02-23,2.1
AD,Cidade Ademar,03-02-23,11.9
MB,M Boi Mirim,04-02-23,0.3
CL,Campo Limpo,04-02-23,0.3
CS,Capela do Socorro,04-02-23,0.4
IP,Ipiranga,04-02-23,0.6
JA,Jabaquara,04-02-23,0.4
SA,Santo Amaro,04-02-23,0.2
VM,Vila Mariana,04-02-23,0.7999999999999999
PA,Parelheiros ,04-02-23,1.0
AD,Cidade Ademar,04-02-23,0.2
MB,M Boi Mirim,05-02-23,7.3
CL,Campo Limpo,05-02-23,6.9
CS,Capela do Socorro,05-02-23,7.6
IP,Ipiranga,05-02-23,3.2
JA,Jabaquara,05-02-23,3.5
SA,Santo Amaro,05-02-23,3.9
VM,Vila Mariana,05-02-23,2.4000000000000004
PA,Parelheiros ,05-02-23,3.8
AD,Cidade Ademar,05-02-23,3.4
MB,M Boi Mirim,06-02-23,1.8
CL,Campo Limpo,06-02-23,2.0
CS,Capela do Socorro,06-02-23,7.2
IP,Ipiranga,06-02-23,14.6
JA,Jabaquara,06-02-23,32.9
SA,Santo Amaro,06-02-23,13.6
VM,Vila Mariana,06-02-23,10.2
PA,Parelheiros ,06-02-23,22.5
AD,Cidade Ademar,06-02-23,18.6
MB,M Boi Mirim,07-02-23,18.7
CL,Campo Limpo,07-02-23,32.8
CS,Capela do Socorro,07-02-23,13.6
IP,Ipiranga,07-02-23,44.0
JA,Jabaquara,07-02-23,28.700000000000003
SA,Santo Amaro,07-02-23,42.0
VM,Vila Mariana,07-02-23,52.7
PA,Parelheiros ,07-02-23,4.5
AD,Cidade Ademar,07-02-23,28.3
MB,M Boi Mirim,08-02-23,0.2
CL,Campo Limpo,08-02-23,0.1
CS,Capela do Socorro,08-02-23,0.1
IP,Ipiranga,08-02-23,0.0
JA,Jabaquara,08-02-23,0.0
SA,Santo Amaro,08-02-23,0.0
VM,Vila Mariana,08-02-23,0.0
PA,Parelheiros ,08-02-23,0.2
AD,Cidade Ademar,08-02-23,0.0
MB,M Boi Mirim,09-02-23,2.8
CL,Campo Limpo,09-02-23,0.4
CS,Capela do Socorro,09-02-23,0.4
IP,Ipiranga,09-02-23,0.0
JA,Jabaquara,09-02-23,0.0
SA,Santo Amaro,09-02-23,0.2
VM,Vila Mariana,09-02-23,0.0
PA,Parelheiros ,09-02-23,0.4
AD,Cidade Ademar,09-02-23,0.0
MB,M Boi Mirim,10-02-23,0.8
CL,Campo Limpo,10-02-23,1.1
CS,Capela do Socorro,10-02-23,1.4
IP,Ipiranga,10-02-23,0.6
JA,Jabaquara,10-02-23,1.7000000000000002
SA,Santo Amaro,10-02-23,1.6
VM,Vila Mariana,10-02-23,0.7
PA,Parelheiros ,10-02-23,5.199999999999999
AD,Cidade Ademar,10-02-23,2.0
MB,M Boi Mirim,11-02-23,10.0
CL,Campo Limpo,11-02-23,7.6
CS,Capela do Socorro,11-02-23,7.0
IP,Ipiranga,11-02-23,7.7
JA,Jabaquara,11-02-23,8.0
SA,Santo Amaro,11-02-23,8.0
VM,Vila Mariana,11-02-23,8.2
PA,Parelheiros ,11-02-23,11.3
AD,Cidade Ademar,11-02-23,8.6
MB,M Boi Mirim,12-02-23,37.7
CL,Campo Limpo,12-02-23,40.2
CS,Capela do Socorro,12-02-23,38.1
IP,Ipiranga,12-02-23,37.3
JA,Jabaquara,12-02-23,54.0
SA,Santo Amaro,12-02-23,62.9
VM,Vila Mariana,12-02-23,50.9
PA,Parelheiros ,12-02-23,21.700000000000003
AD,Cidade Ademar,12-02-23,61.1
MB,M Boi Mirim,13-02-23,1.1
CL,Campo Limpo,13-02-23,2.4000000000000004
CS,Capela do Socorro,13-02-23,1.8
IP,Ipiranga,13-02-23,2.3
JA,Jabaquara,13-02-23,6.300000000000001
SA,Santo Amaro,13-02-23,3.4000000000000004
VM,Vila Mariana,13-02-23,0.5
PA,Parelheiros ,13-02-23,5.9
AD,Cidade Ademar,13-02-23,5.1000000000000005
MB,M Boi Mirim,14-02-23,2.1
CL,Campo Limpo,14-02-23,0.9
CS,Capela do Socorro,14-02-23,3.3000000000000003
IP,Ipiranga,14-02-23,1.1
JA,Jabaquara,14-02-23,5.2
SA,Santo Amaro,14-02-23,2.4
VM,Vila Mariana,14-02-23,0.2
PA,Parelheiros ,14-02-23,3.7
AD,Cidade Ademar,14-02-23,5.1
MB,M Boi Mirim,15-02-23,12.7
CL,Campo Limpo,15-02-23,15.8
CS,Capela do Socorro,15-02-23,7.9
IP,Ipiranga,15-02-23,2.5
JA,Jabaquara,15-02-23,7.2
SA,Santo Amaro,15-02-23,13.4
VM,Vila Mariana,15-02-23,3.3000000000000003
PA,Parelheiros ,15-02-23,2.1
AD,Cidade Ademar,15-02-23,13.3
MB,M Boi Mirim,16-02-23,23.6
CL,Campo Limpo,16-02-23,23.3
CS,Capela do Socorro,16-02-23,16.6
IP,Ipiranga,16-02-23,22.1
JA,Jabaquara,16-02-23,25.4
SA,Santo Amaro,16-02-23,20.700000000000003
VM,Vila Mariana,16-02-23,24.200000000000003
PA,Parelheiros ,16-02-23,13.4
AD,Cidade Ademar,16-02-23,21.5
MB,M Boi Mirim,17-02-23,0.4
CL,Campo Limpo,17-02-23,0.6
CS,Capela do Socorro,17-02-23,0.0
IP,Ipiranga,17-02-23,1.3000000000000005
JA,Jabaquara,17-02-23,0.1
SA,Santo Amaro,17-02-23,0.2
VM,Vila Mariana,17-02-23,0.3
PA,Parelheiros ,17-02-23,0.2
AD,Cidade Ademar,17-02-23,0.1
MB,M Boi Mirim,18-02-23,18.1
CL,Campo Limpo,18-02-23,17.700000000000003
CS,Capela do Socorro,18-02-23,24.4
IP,Ipiranga,18-02-23,41.7
JA,Jabaquara,18-02-23,63.2
SA,Santo Amaro,18-02-23,45.2
VM,Vila Mariana,18-02-23,43.3
PA,Parelheiros ,18-02-23,30.0
AD,Cidade Ademar,18-02-23,54.4
MB,M Boi Mirim,19-02-23,14.6
CL,Campo Limpo,19-02-23,14.0
CS,Capela do Socorro,19-02-23,19.0
IP,Ipiranga,19-02-23,20.1
JA,Jabaquara,19-02-23,20.3
SA,Santo Amaro,19-02-23,16.500000000000004
VM,Vila Mariana,19-02-23,21.0
PA,Parelheiros ,19-02-23,34.2
AD,Cidade Ademar,19-02-23,19.7
MB,M Boi Mirim,20-02-23,1.9
CL,Campo Limpo,20-02-23,1.7999999999999998
CS,Capela do Socorro,20-02-23,1.3
IP,Ipiranga,20-02-23,6.8
JA,Jabaquara,20-02-23,3.8
SA,Santo Amaro,20-02-23,3.4
VM,Vila Mariana,20-02-23,10.6
PA,Parelheiros ,20-02-23,3.3
AD,Cidade Ademar,20-02-23,1.2
MB,M Boi Mirim,21-02-23,20.3
CL,Campo Limpo,21-02-23,16.2
CS,Capela do Socorro,21-02-23,27.5
IP,Ipiranga,21-02-23,39.9
JA,Jabaquara,21-02-23,52.2
SA,Santo Amaro,21-02-23,50.5
VM,Vila Mariana,21-02-23,35.5
PA,Parelheiros ,21-02-23,10.3
AD,Cidade Ademar,21-02-23,49.7
MB,M Boi Mirim,22-02-23,0.6
CL,Campo Limpo,22-02-23,0.1
CS,Capela do Socorro,22-02-23,1.2
IP,Ipiranga,22-02-23,2.8000000000000003
JA,Jabaquara,22-02-23,1.1
SA,Santo Amaro,22-02-23,1.3
VM,Vila Mariana,22-02-23,2.5
PA,Parelheiros ,22-02-23,1.7999999999999998
AD,Cidade Ademar,22-02-23,0.3
MB,M Boi Mirim,23-02-23,6.8
CL,Campo Limpo,23-02-23,16.3
CS,Capela do Socorro,23-02-23,12.4
IP,Ipiranga,23-02-23,16.9
JA,Jabaquara,23-02-23,60.9
SA,Santo Amaro,23-02-23,56.2
VM,Vila Mariana,23-02-23,30.3
PA,Parelheiros ,23-02-23,10.3
AD,Cidade Ademar,23-02-23,48.7
MB,M Boi Mirim,24-02-23,0.2
CL,Campo Limpo,24-02-23,0.3
CS,Capela do Socorro,24-02-23,1.2
IP,Ipiranga,24-02-23,0.4
JA,Jabaquara,24-02-23,1.2000000000000002
SA,Santo Amaro,24-02-23,0.8
VM,Vila Mariana,24-02-23,2.3
PA,Parelheiros ,24-02-23,0.8999999999999999
AD,Cidade Ademar,24-02-23,0.7
MB,M Boi Mirim,25-02-23,3.8
CL,Campo Limpo,25-02-23,4.0
CS,Capela do Socorro,25-02-23,2.0
IP,Ipiranga,25-02-23,0.6
JA,Jabaquara,25-02-23,2.9
SA,Santo Amaro,25-02-23,2.1
VM,Vila Mariana,25-02-23,0.4
PA,Parelheiros ,25-02-23,2.9000000000000004
AD,Cidade Ademar,25-02-23,3.2
MB,M Boi Mirim,26-02-23,0.0
CL,Campo Limpo,26-02-23,0.0
CS,Capela do Socorro,26-02-23,0.0
IP,Ipiranga,26-02-23,0.0
JA,Jabaquara,26-02-23,0.0
SA,Santo Amaro,26-02-23,0.0
VM,Vila Mariana,26-02-23,0.0
PA,Parelheiros ,26-02-23,0.0
AD,Cidade Ademar,26-02-23,0.0
MB,M Boi Mirim,27-02-23,0.3
CL,Campo Limpo,27-02-23,0.1
CS,Capela do Socorro,27-02-23,0.3
IP,Ipiranga,27-02-23,0.0
JA,Jabaquara,27-02-23,0.0
SA,Santo Amaro,27-02-23,0.0
VM,Vila Mariana,27-02-23,0.0
PA,Parelheiros ,27-02-23,2.3
AD,Cidade Ademar,27-02-23,0.0
MB,M Boi Mirim,28-02-23,5.3
CL,Campo Limpo,28-02-23,7.8
CS,Capela do Socorro,28-02-23,7.4
IP,Ipiranga,28-02-23,12.7
JA,Jabaquara,28-02-23,14.4
SA,Santo Amaro,28-02-23,12.3
VM,Vila Mariana,28-02-23,11.2
PA,Parelheiros ,28-02-23,8.999999999999998
AD,Cidade Ademar,28-02-23,11.6
MB,M Boi Mirim,01-03-23,3.7
CL,Campo Limpo,01-03-23,5.9
CS,Capela do Socorro,01-03-23,2.7
IP,Ipiranga,01-03-23,0.2
JA,Jabaquara,01-03-23,1.7
SA,Santo Amaro,01-03-23,5.9
VM,Vila Mariana,01-03-23,0.1
PA,Parelheiros ,01-03-23,0.7
AD,Cidade Ademar,01-03-23,5.2
MB,M Boi Mirim,02-03-23,0.0
CL,Campo Limpo,02-03-23,0.0
CS,Capela do Socorro,02-03-23,0.0
IP,Ipiranga,02-03-23,0.0
JA,Jabaquara,02-03-23,0.0
SA,Santo Amaro,02-03-23,0.0
VM,Vila Mariana,02-03-23,0.0
PA,Parelheiros ,02-03-23,0.0
AD,Cidade Ademar,02-03-23,0.0
MB,M Boi Mirim,03-03-23,4.5
CL,Campo Limpo,03-03-23,7.5
CS,Capela do Socorro,03-03-23,8.200000000000001
IP,Ipiranga,03-03-23,21.7
JA,Jabaquara,03-03-23,10.0
SA,Santo Amaro,03-03-23,2.4
VM,Vila Mariana,03-03-23,8.6
PA,Parelheiros ,03-03-23,10.3
AD,Cidade Ademar,03-03-23,7.2
MB,M Boi Mirim,04-03-23,0.3
CL,Campo Limpo,04-03-23,0.3
CS,Capela do Socorro,04-03-23,0.1
IP,Ipiranga,04-03-23,0.1
JA,Jabaquara,04-03-23,0.1
SA,Santo Amaro,04-03-23,0.1
VM,Vila Mariana,04-03-23,0.2
PA,Parelheiros ,04-03-23,0.6
AD,Cidade Ademar,04-03-23,0.1
MB,M Boi Mirim,05-03-23,8.1
CL,Campo Limpo,05-03-23,5.4
CS,Capela do Socorro,05-03-23,12.8
IP,Ipiranga,05-03-23,4.2
JA,Jabaquara,05-03-23,9.2
SA,Santo Amaro,05-03-23,9.8
VM,Vila Mariana,05-03-23,3.6
PA,Parelheiros ,05-03-23,21.200000000000003
AD,Cidade Ademar,05-03-23,10.1
MB,M Boi Mirim,06-03-23,16.7
CL,Campo Limpo,06-03-23,15.3
CS,Capela do Socorro,06-03-23,16.4
IP,Ipiranga,06-03-23,8.200000000000001
JA,Jabaquara,06-03-23,19.8
SA,Santo Amaro,06-03-23,14.8
VM,Vila Mariana,06-03-23,8.1
PA,Parelheiros ,06-03-23,26.3
AD,Cidade Ademar,06-03-23,15.6
MB,M Boi Mirim,07-03-23,1.1
CL,Campo Limpo,07-03-23,1.4
CS,Capela do Socorro,07-03-23,0.9
IP,Ipiranga,07-03-23,0.6
JA,Jabaquara,07-03-23,0.7999999999999999
SA,Santo Amaro,07-03-23,1.2
VM,Vila Mariana,07-03-23,0.7
PA,Parelheiros ,07-03-23,0.8999999999999999
AD,Cidade Ademar,07-03-23,1.1
MB,M Boi Mirim,08-03-23,34.900000000000006
CL,Campo Limpo,08-03-23,22.2
CS,Capela do Socorro,08-03-23,14.9
IP,Ipiranga,08-03-23,29.0
JA,Jabaquara,08-03-23,34.6
SA,Santo Amaro,08-03-23,40.7
VM,Vila Mariana,08-03-23,45.2
PA,Parelheiros ,08-03-23,8.6
AD,Cidade Ademar,08-03-23,27.9
MB,M Boi Mirim,09-03-23,3.1
CL,Campo Limpo,09-03-23,3.4
CS,Capela do Socorro,09-03-23,6.199999999999999
IP,Ipiranga,09-03-23,14.3
JA,Jabaquara,09-03-23,13.3
SA,Santo Amaro,09-03-23,5.1
VM,Vila Mariana,09-03-23,7.2
PA,Parelheiros ,09-03-23,3.5
AD,Cidade Ademar,09-03-23,18.5
MB,M Boi Mirim,10-03-23,40.49999999999999
CL,Campo Limpo,10-03-23,47.3
CS,Capela do Socorro,10-03-23,40.3
IP,Ipiranga,10-03-23,38.99999999999999
JA,Jabaquara,10-03-23,68.39999999999999
SA,Santo Amaro,10-03-23,57.6
VM,Vila Mariana,10-03-23,46.1
PA,Parelheiros ,10-03-23,17.799999999999997
AD,Cidade Ademar,10-03-23,66.70000000000002
MB,M Boi Mirim,11-03-23,8.600000000000001
CL,Campo Limpo,11-03-23,8.899999999999999
CS,Capela do Socorro,11-03-23,13.7
IP,Ipiranga,11-03-23,29.0
JA,Jabaquara,11-03-23,14.3
SA,Santo Amaro,11-03-23,6.1
VM,Vila Mariana,11-03-23,12.6
PA,Parelheiros ,11-03-23,10.9
AD,Cidade Ademar,11-03-23,5.3
MB,M Boi Mirim,12-03-23,24.3
CL,Campo Limpo,12-03-23,20.8
CS,Capela do Socorro,12-03-23,40.0
IP,Ipiranga,12-03-23,28.7
JA,Jabaquara,12-03-23,16.2
SA,Santo Amaro,12-03-23,15.9
VM,Vila Mariana,12-03-23,16.900000000000002
PA,Parelheiros ,12-03-23,21.500000000000004
AD,Cidade Ademar,12-03-23,27.4
MB,M Boi Mirim,13-03-23,20.7
CL,Campo Limpo,13-03-23,30.4
CS,Capela do Socorro,13-03-23,9.8
IP,Ipiranga,13-03-23,36.2
JA,Jabaquara,13-03-23,42.3
SA,Santo Amaro,13-03-23,36.6
