,Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
18389,19.3,93.0,4.3,1.0,0.0,3.0
18390,19.8,89.0,3.1,0.6,0.0,0.0
18391,21.1,83.0,2.4,0.7,0.0,0.0
18392,21.9,79.0,3.0,1.4,0.0,2.0
18393,23.3,75.0,3.0,1.1,0.0,0.0
18394,23.1,79.0,3.5,1.9,0.0,0.0
18395,23.0,75.0,5.0,2.2,0.0,2.0
18396,24.4,74.0,5.1,2.2,0.0,1.0
18397,24.4,71.0,5.6,2.3,0.0,0.0
18398,23.3,80.0,5.9,2.6,0.0,1.0
18399,21.3,91.0,7.2,3.4,0.4,0.0
18400,20.4,91.0,7.1,3.0,0.0,0.0
18401,20.3,92.0,5.5,2.9,0.0,2.0
18402,19.2,95.0,6.3,2.9,0.0,0.0
18403,19.3,97.0,6.3,1.9,0.0,0.0
18404,19.3,96.0,5.0,1.6,0.2,0.0
18405,18.9,96.0,3.7,1.1,0.0,0.0
18406,18.5,96.0,3.3,1.4,0.0,0.0
18407,18.3,96.0,3.7,1.3,0.0,0.0
18408,18.4,92.0,4.6,2.1,0.0,0.0
18409,18.7,91.0,4.8,1.7,0.0,0.0
18410,18.0,96.0,3.4,1.1,0.0,0.0
18411,18.4,95.0,3.8,1.8,0.0,2.0
18412,17.9,95.0,5.0,1.2,0.0,1.0
18413,17.6,94.0,3.6,1.2,0.0,0.0
18414,19.6,85.0,4.5,1.2,0.0,0.0
18415,20.5,80.0,4.0,2.0,0.0,0.0
18416,21.8,75.0,5.1,2.0,0.0,0.0
18417,22.2,70.0,5.9,2.7,0.0,3.0
18418,23.4,61.0,6.3,3.2,0.0,1.0
18419,24.4,59.0,5.7,2.2,0.2,0.0
18420,23.6,65.0,6.2,2.5,0.0,1.0
18421,23.5,68.0,8.3,4.4,0.0,0.0
18422,23.4,71.0,10.5,4.1,0.0,2.0
18423,21.9,76.0,9.3,4.9,0.0,1.0
18424,21.0,79.0,10.0,4.5,0.0,0.0
18425,19.5,89.0,8.3,3.5,0.0,0.0
18426,18.9,92.0,8.9,4.6,0.2,0.0
18427,18.7,92.0,8.9,3.9,0.0,0.0
18428,18.8,92.0,8.1,2.9,0.0,0.0
18429,18.8,92.0,6.8,2.9,0.0,0.0
18430,18.7,91.0,7.2,3.6,0.0,0.0
18431,18.3,93.0,7.2,2.0,0.0,0.0
18432,18.1,93.0,6.4,2.9,0.0,0.0
18433,17.9,94.0,6.4,2.6,0.0,0.0
18434,18.1,91.0,6.4,2.8,0.0,0.0
18435,18.0,90.0,6.5,3.0,0.2,0.0
18436,18.1,89.0,6.3,2.8,0.0,0.0
18437,18.2,90.0,5.7,2.0,0.0,1.0
18438,18.4,91.0,4.4,1.3,0.0,2.0
18439,17.7,96.0,4.0,2.1,0.4,1.0
18440,19.9,88.0,5.4,2.4,0.4,3.0
18441,21.1,78.0,5.5,2.4,0.0,2.0
18442,20.7,82.0,6.9,3.9,0.0,0.0
18443,21.8,73.0,7.2,3.6,0.0,0.0
18444,22.5,76.0,7.3,2.9,0.0,0.0
18445,22.8,74.0,9.3,3.8,0.0,0.0
18446,21.4,75.0,9.3,4.2,0.0,0.0
18447,21.3,75.0,9.3,3.4,0.0,0.0
18448,19.9,79.0,9.5,4.2,0.0,0.0
18449,19.3,83.0,9.8,3.8,0.0,1.0
18450,18.6,80.0,9.5,4.1,0.0,0.0
18451,18.6,86.0,7.8,3.2,0.0,1.0
18452,18.3,89.0,7.4,2.4,0.0,0.0
18453,18.0,94.0,6.3,2.7,0.2,0.0
18454,18.1,88.0,8.6,3.5,0.2,0.0
18455,18.1,90.0,9.2,2.7,0.0,0.0
18456,18.1,91.0,6.8,2.1,0.0,0.0
18457,17.8,91.0,5.7,1.9,0.0,0.0
18458,17.9,89.0,5.9,2.9,0.0,0.0
18459,17.5,90.0,5.9,2.2,0.0,0.0
18460,17.4,90.0,5.8,2.0,0.0,2.0
18461,17.8,92.0,5.2,2.1,0.0,0.0
18462,18.5,87.0,6.2,2.9,0.0,1.0
18463,20.3,80.0,6.3,3.2,0.0,0.0
18464,21.3,69.0,6.9,3.1,0.0,1.0
18465,22.1,66.0,8.4,3.2,0.0,0.0
18466,22.7,63.0,7.1,3.2,0.0,0.0
18467,22.8,68.0,9.2,3.8,0.0,1.0
18468,22.9,65.0,9.6,3.7,0.0,1.0
18469,23.4,60.0,9.1,3.4,0.0,0.0
18470,22.1,62.0,9.7,4.6,0.0,0.0
18471,22.4,64.0,9.7,3.9,0.0,0.0
18472,20.6,72.0,9.7,4.1,0.0,0.0
18473,19.5,78.0,9.2,4.2,0.0,0.0
18474,19.0,79.0,10.1,4.4,0.0,0.0
18475,18.4,85.0,8.5,3.9,0.0,0.0
18476,18.4,87.0,7.9,3.4,0.0,0.0
18477,17.9,88.0,7.8,3.2,0.0,0.0
18478,17.7,88.0,7.1,3.0,0.0,0.0
18479,17.8,86.0,7.1,2.7,0.0,0.0
18480,17.2,90.0,6.5,1.9,0.0,0.0
18481,16.9,91.0,5.1,1.8,0.0,0.0
18482,16.7,92.0,4.1,1.8,0.0,0.0
18483,16.6,94.0,4.3,1.5,0.0,0.0
18484,17.2,93.0,4.5,1.7,0.0,3.0
18485,17.1,94.0,3.3,0.9,0.0,1.0
18486,18.9,84.0,4.6,2.2,0.0,0.0
18487,20.3,74.0,5.7,2.4,0.0,2.0
18488,21.1,73.0,6.2,2.9,0.0,1.0
18489,22.2,74.0,5.5,2.9,0.0,1.0
18490,22.8,67.0,6.7,3.0,0.0,1.0
18491,22.5,66.0,7.2,3.2,0.0,0.0
18492,22.9,69.0,8.1,4.0,0.0,0.0
18493,23.0,71.0,9.9,4.1,0.0,3.0
18494,21.4,77.0,8.7,4.5,0.0,0.0
18495,21.7,79.0,9.5,3.5,0.0,0.0
18496,19.6,83.0,10.0,4.5,0.0,0.0
18497,19.6,80.0,9.0,3.8,0.0,1.0
18498,19.0,85.0,7.9,2.9,0.0,2.0
18499,18.6,89.0,6.5,3.1,0.0,0.0
18500,18.8,91.0,5.8,2.3,0.0,0.0
18501,19.2,92.0,6.1,2.4,0.0,0.0
18502,19.1,91.0,6.4,2.4,0.0,0.0
18503,19.1,93.0,5.5,2.0,0.0,4.0
18504,18.5,94.0,5.6,1.8,0.0,0.0
18505,18.2,93.0,4.1,1.8,0.0,0.0
18506,17.9,92.0,3.8,1.1,0.0,1.0
18507,17.7,96.0,3.0,1.1,0.0,0.0
18508,17.4,96.0,2.2,0.9,0.0,1.0
18509,17.9,92.0,3.0,1.3,0.0,0.0
18510,18.8,91.0,3.4,1.0,0.0,1.0
18511,20.7,82.0,3.2,1.2,0.0,1.0
18512,21.8,77.0,4.3,2.1,0.0,0.0
18513,22.6,73.0,5.4,2.6,0.0,1.0
18514,23.7,72.0,6.5,3.2,0.0,0.0
18515,23.9,66.0,7.2,3.5,0.0,2.0
18516,24.1,68.0,8.2,2.7,0.0,0.0
18517,24.7,71.0,8.4,3.4,0.0,1.0
18518,24.0,74.0,9.9,3.6,0.0,1.0
18519,22.9,77.0,9.5,4.3,0.0,0.0
18520,21.1,84.0,10.4,4.2,0.0,0.0
18521,20.7,86.0,10.4,2.9,0.0,0.0
18522,20.4,87.0,7.8,2.4,0.0,1.0
18523,19.6,93.0,7.0,3.7,0.6,0.0
18524,19.6,95.0,7.3,2.9,0.0,0.0
18525,19.6,94.0,7.5,2.8,0.0,0.0
18526,19.7,94.0,7.5,2.7,0.0,0.0
18527,19.5,97.0,4.9,1.3,0.0,0.0
18528,19.5,96.0,4.0,1.8,0.0,0.0
18529,19.4,95.0,4.3,1.8,0.0,0.0
18530,19.0,95.0,4.2,1.4,0.2,0.0
18531,18.5,97.0,3.3,1.1,0.0,0.0
18532,18.5,95.0,2.7,0.9,0.0,1.0
18533,18.8,93.0,3.0,1.3,0.0,0.0
18534,19.3,92.0,3.5,1.6,0.0,1.0
18535,20.8,81.0,4.5,1.7,0.0,2.0
18536,21.6,80.0,4.7,1.4,0.0,1.0
18537,23.2,76.0,5.1,2.0,0.0,3.0
18538,23.9,71.0,4.1,1.7,0.0,1.0
18539,24.3,72.0,4.6,2.7,0.0,0.0
18540,24.1,76.0,6.2,3.1,0.0,1.0
18541,22.4,84.0,7.1,3.4,0.0,8.0
18542,18.4,93.0,7.6,1.2,2.4,0.0
18543,18.4,96.0,4.6,1.0,0.8,1.0
18544,18.6,96.0,3.8,1.1,1.6,0.0
18545,18.5,97.0,3.8,1.2,1.6,0.0
18546,17.8,97.0,2.1,0.6,0.2,0.0
18547,18.2,97.0,3.3,1.6,0.0,0.0
18548,18.7,97.0,4.3,0.7,0.0,0.0
18549,18.7,98.0,2.3,1.2,0.0,0.0
18550,18.6,98.0,2.9,1.3,0.0,0.0
18551,18.9,97.0,2.9,0.9,0.2,0.0
18552,18.9,95.0,3.8,1.3,0.0,0.0
18553,18.8,92.0,3.9,1.0,0.0,0.0
18554,18.8,91.0,4.1,1.2,0.0,1.0
18555,18.4,93.0,4.4,0.6,0.0,0.0
18556,18.2,93.0,3.2,1.2,0.0,0.0
18557,17.9,96.0,3.2,1.4,0.0,1.0
18558,18.8,92.0,2.8,1.0,0.0,0.0
18559,20.1,89.0,3.2,1.3,0.0,1.0
18560,21.4,83.0,3.3,0.9,0.0,1.0
18561,23.2,80.0,2.7,1.1,0.0,1.0
18562,23.9,72.0,4.0,1.8,0.0,1.0
18563,24.8,68.0,4.5,1.5,0.0,1.0
18564,24.2,69.0,3.7,1.3,0.0,6.0
18565,24.8,68.0,4.3,1.3,0.0,0.0
18566,24.6,68.0,4.1,1.0,0.0,0.0
18567,24.2,81.0,3.2,1.4,0.0,2.0
18568,23.1,87.0,4.9,2.5,0.0,0.0
18569,21.8,88.0,6.9,3.1,0.0,0.0
18570,19.9,98.0,9.0,3.2,16.8,0.0
18571,20.2,98.0,6.2,1.4,0.0,0.0
18572,19.9,98.0,3.2,1.3,0.4,0.0
18573,19.9,98.0,5.2,1.7,9.8,0.0
18574,19.5,98.0,4.7,1.4,1.2,1.0
18575,19.2,98.0,4.2,1.6,0.4,0.0
18576,19.2,98.0,3.9,1.4,2.2,1.0
18577,19.5,98.0,3.8,1.6,0.4,0.0
18578,19.4,98.0,5.1,1.6,0.0,0.0
18579,19.4,98.0,3.9,1.3,0.0,0.0
18580,19.4,98.0,3.5,0.7,0.0,1.0
18581,19.3,98.0,2.0,0.4,0.0,2.0
18582,19.8,98.0,3.5,1.4,0.0,1.0
18583,20.1,98.0,5.1,1.6,0.6,2.0
18584,19.8,98.0,5.5,1.6,1.4,0.0
18585,20.2,98.0,4.3,1.1,2.4,0.0
18586,22.2,91.0,4.7,1.5,0.2,0.0
18587,22.8,84.0,6.2,1.3,0.0,0.0
18588,26.1,73.0,5.3,1.3,0.0,0.0
18589,22.5,83.0,5.2,1.9,0.0,0.0
18590,22.9,94.0,5.1,1.1,1.8,1.0
18591,22.2,95.0,4.4,0.9,0.0,0.0
18592,21.8,98.0,2.8,0.4,0.4,0.0
18593,20.8,97.0,2.9,1.1,1.6,0.0
18594,20.8,98.0,3.1,1.5,0.4,0.0
18595,20.6,97.0,3.3,0.9,0.0,0.0
18596,20.6,97.0,4.2,1.8,0.0,0.0
18597,20.3,97.0,4.2,1.0,0.0,0.0
18598,19.9,97.0,2.7,1.2,0.0,0.0
18599,19.9,98.0,2.6,1.1,0.0,0.0
18600,19.3,98.0,2.4,0.4,0.0,3.0
18601,18.8,98.0,2.0,0.1,0.0,5.0
18602,18.4,98.0,2.2,0.5,0.0,0.0
18603,17.9,98.0,1.7,0.5,0.0,1.0
18604,17.5,98.0,2.3,0.6,0.0,0.0
18605,17.3,98.0,3.0,0.8,0.0,0.0
18606,18.6,99.0,3.1,1.0,0.0,2.0
18607,21.2,84.0,4.5,1.6,0.0,0.0
18608,23.2,76.0,6.6,2.9,0.0,1.0
18609,26.1,69.0,8.0,2.2,0.0,1.0
18610,27.5,69.0,8.3,2.5,0.0,3.0
18611,27.8,60.0,8.3,2.8,0.0,1.0
18612,28.5,58.0,7.6,2.2,0.0,2.0
18613,29.7,51.0,7.5,2.1,0.0,0.0
18614,29.0,56.0,7.4,1.9,0.0,0.0
18615,27.3,63.0,6.5,1.7,0.0,1.0
18616,26.0,67.0,5.4,1.4,0.0,0.0
18617,25.4,71.0,4.7,0.9,0.0,0.0
18618,23.6,77.0,4.2,0.7,0.0,0.0
18619,22.8,80.0,3.6,1.4,0.0,0.0
18620,22.9,81.0,4.6,0.3,0.0,0.0
18621,22.7,83.0,1.5,0.6,0.0,0.0
18622,21.4,91.0,2.3,0.5,0.0,0.0
18623,21.7,91.0,3.7,1.5,0.0,0.0
18624,21.5,92.0,3.7,0.6,0.0,0.0
18625,20.9,94.0,3.9,1.2,0.0,0.0
18626,20.3,97.0,3.9,0.6,0.0,0.0
18627,20.0,98.0,3.1,0.8,0.0,1.0
18628,20.0,98.0,3.4,0.5,0.0,0.0
18629,19.9,98.0,3.9,1.0,0.0,0.0
18630,20.5,94.0,4.7,1.3,0.0,0.0
18631,22.5,77.0,5.3,1.7,0.0,0.0
18632,24.4,69.0,7.3,2.2,0.0,0.0
18633,25.9,59.0,9.0,3.0,0.0,2.0
18634,27.0,61.0,8.2,2.1,0.0,1.0
18635,28.3,51.0,8.2,1.9,0.0,0.0
18636,28.4,50.0,7.2,2.2,0.0,0.0
18637,30.1,46.0,7.6,2.0,0.0,0.0
18638,28.7,48.0,7.2,2.0,0.0,0.0
18639,30.2,43.0,7.1,1.5,0.0,1.0
18640,25.4,66.0,6.0,2.6,0.0,1.0
18641,23.3,84.0,8.2,3.4,0.0,1.0
18642,21.7,90.0,8.2,1.4,0.0,0.0
18643,21.6,92.0,3.9,1.9,0.0,0.0
18644,21.6,86.0,5.8,2.6,0.0,0.0
18645,17.6,97.0,11.1,1.1,10.8,0.0
18646,18.2,98.0,3.8,1.6,0.0,0.0
18647,18.3,98.0,3.8,0.8,0.0,0.0
18648,18.3,98.0,2.8,0.9,0.0,0.0
18649,18.6,98.0,2.6,0.7,0.0,1.0
18650,18.8,96.0,3.4,1.5,0.2,0.0
18651,18.1,97.0,3.4,0.7,0.0,0.0
18652,17.9,98.0,1.8,0.2,0.0,1.0
18653,17.8,98.0,1.4,0.2,0.0,1.0
18654,19.9,90.0,2.5,1.5,0.0,1.0
18655,22.6,80.0,4.0,2.0,0.0,1.0
18656,25.3,75.0,6.4,2.2,0.0,0.0
18657,26.4,68.0,6.4,2.0,0.0,0.0
18658,27.9,68.0,8.5,1.6,0.2,0.0
18659,28.6,56.0,8.0,2.8,0.0,2.0
18660,29.4,56.0,9.1,2.5,0.0,1.0
18661,30.3,48.0,9.1,2.3,0.0,0.0
18662,30.5,47.0,7.3,2.1,0.0,1.0
18663,28.7,50.0,7.0,2.8,0.0,1.0
18664,26.3,59.0,6.7,2.9,0.0,1.0
18665,21.6,89.0,7.0,2.1,1.0,0.0
18666,20.4,93.0,6.1,1.1,0.2,0.0
18667,20.2,96.0,2.6,0.6,0.0,0.0
18668,20.7,95.0,2.0,0.5,0.0,0.0
18669,21.0,94.0,2.5,0.9,0.0,0.0
18670,20.9,90.0,4.4,1.3,0.0,0.0
18671,20.5,89.0,3.8,1.4,0.0,0.0
18672,20.7,87.0,3.8,1.0,0.0,0.0
18673,20.6,87.0,2.6,0.9,0.0,0.0
18674,20.6,86.0,3.8,1.3,0.0,0.0
18675,20.2,91.0,4.1,1.0,0.0,0.0
18676,20.0,93.0,4.8,1.3,0.0,0.0
18677,20.0,93.0,3.3,1.1,0.0,0.0
18678,20.4,92.0,4.1,1.3,0.0,3.0
18679,21.4,89.0,4.3,1.2,0.0,0.0
18680,22.4,86.0,3.1,1.2,0.0,0.0
18681,24.2,78.0,3.3,1.2,0.0,1.0
18682,25.8,68.0,3.6,1.5,0.0,1.0
18683,27.9,62.0,4.4,1.4,0.0,1.0
18684,27.5,62.0,4.7,1.5,0.0,2.0
18685,25.9,62.0,3.5,1.8,0.0,0.0
18686,24.6,68.0,9.0,3.3,0.0,2.0
18687,23.4,72.0,7.9,2.2,0.0,2.0
18688,22.4,88.0,6.1,2.1,0.0,1.0
18689,18.8,97.0,8.0,1.4,9.6,0.0
18690,18.9,98.0,4.7,1.6,5.2,0.0
18691,19.5,96.0,5.2,1.4,3.8,2.0
18692,19.3,95.0,4.9,1.1,0.2,1.0
18693,19.5,94.0,4.8,1.1,0.0,0.0
18694,19.4,93.0,3.7,0.6,0.0,0.0
18695,19.0,93.0,2.7,0.8,0.0,0.0
18696,18.9,95.0,3.0,1.2,0.0,0.0
18697,18.7,96.0,4.0,1.1,0.2,0.0
18698,18.4,97.0,2.7,0.8,0.0,0.0
18699,18.0,98.0,2.2,0.4,0.0,0.0
18700,17.8,98.0,1.6,0.3,0.0,1.0
18701,18.1,98.0,2.0,0.9,0.2,0.0
18702,19.2,98.0,2.0,0.9,0.0,1.0
18703,21.8,84.0,3.9,1.8,0.0,0.0
18704,24.1,71.0,4.8,1.7,0.0,0.0
18705,25.5,66.0,5.6,2.4,0.0,1.0
18706,27.4,63.0,5.7,2.0,0.0,2.0
18707,28.5,60.0,6.4,1.2,0.0,1.0
18708,29.5,57.0,6.5,1.4,0.0,0.0
18709,30.2,51.0,5.5,1.6,0.0,0.0
18710,30.2,51.0,6.7,2.0,0.0,0.0
18711,24.7,82.0,7.2,2.8,0.0,1.0
18712,21.8,93.0,10.5,4.5,2.0,1.0
18713,21.0,91.0,9.0,2.8,6.8,0.0
18714,20.3,95.0,7.9,1.2,1.0,0.0
18715,20.4,97.0,3.9,1.8,0.0,0.0
18716,20.3,96.0,3.9,1.4,0.0,1.0
18717,19.7,98.0,3.3,0.8,0.0,0.0
18718,19.8,98.0,2.4,1.1,0.0,0.0
18719,19.8,98.0,2.4,0.6,0.0,0.0
18720,19.5,98.0,1.4,0.6,0.0,0.0
18721,19.6,98.0,3.0,0.7,0.0,0.0
18722,19.1,98.0,2.1,0.3,0.0,0.0
18723,18.8,98.0,1.1,0.6,0.0,1.0
18724,18.8,98.0,1.4,0.3,0.2,2.0
18725,18.5,98.0,0.8,0.3,0.0,2.0
18726,19.2,99.0,2.8,0.6,0.0,1.0
18727,20.9,94.0,2.5,1.1,0.0,2.0
18728,22.2,82.0,3.2,1.4,0.0,1.0
18729,24.7,74.0,3.5,1.7,0.0,0.0
18730,25.5,67.0,4.6,2.3,0.2,0.0
18731,26.8,63.0,4.9,1.9,0.0,0.0
18732,27.4,66.0,6.7,2.4,0.0,0.0
18733,26.3,71.0,7.5,3.1,0.0,1.0
18734,25.5,73.0,8.6,4.3,0.0,0.0
18735,24.1,77.0,9.5,3.4,0.0,0.0
18736,23.5,79.0,8.1,3.5,0.0,0.0
18737,22.8,84.0,7.3,2.5,0.0,1.0
18738,21.7,90.0,7.5,2.2,0.0,0.0
18739,21.1,91.0,6.9,2.7,0.0,0.0
18740,20.9,93.0,6.9,1.9,0.0,0.0
18741,21.1,93.0,5.6,2.3,0.0,0.0
18742,20.5,91.0,5.7,2.4,0.0,0.0
18743,20.0,92.0,4.8,1.4,0.0,0.0
18744,19.8,96.0,3.4,1.5,0.0,0.0
18745,19.6,97.0,4.1,0.8,0.0,0.0
18746,19.8,95.0,2.6,1.2,0.0,0.0
18747,19.6,94.0,3.2,1.4,0.0,0.0
18748,18.9,96.0,3.2,0.6,0.0,0.0
18749,19.0,98.0,1.6,0.7,0.0,1.0
18750,21.1,87.0,2.9,1.3,0.0,1.0
18751,22.4,80.0,3.9,2.0,0.0,1.0
18752,23.9,72.0,4.1,2.2,0.0,2.0
18753,25.2,71.0,5.4,2.1,0.0,2.0
18754,25.7,70.0,7.0,3.4,0.0,0.0
18755,25.2,69.0,8.6,4.1,0.0,0.0
18756,25.5,67.0,8.1,4.4,0.0,1.0
18757,25.6,69.0,8.6,3.7,0.0,1.0
18758,25.2,69.0,9.5,3.9,0.0,0.0
18759,24.8,75.0,9.4,3.7,0.0,2.0
18760,23.4,80.0,9.6,4.0,0.0,0.0
18761,21.9,88.0,9.3,3.4,0.0,0.0
18762,21.3,89.0,7.3,2.9,0.0,0.0
18763,21.2,89.0,7.4,3.3,0.0,0.0
18764,21.0,91.0,8.2,3.3,0.0,0.0
18765,20.5,92.0,8.2,2.3,0.0,1.0
18766,20.6,91.0,6.2,2.5,0.0,0.0
18767,20.5,92.0,5.1,2.1,0.0,0.0
18768,20.8,91.0,6.1,2.3,0.0,0.0
18769,20.3,93.0,6.0,1.6,0.0,0.0
18770,19.8,96.0,4.5,1.3,0.0,0.0
18771,19.5,97.0,4.1,1.4,0.0,0.0
18772,19.4,96.0,3.8,1.2,0.0,0.0
18773,19.1,97.0,2.9,0.8,0.0,1.0
18774,20.6,95.0,2.5,0.9,0.0,1.0
18775,22.0,80.0,2.7,1.3,0.0,0.0
18776,23.0,76.0,5.7,3.4,0.0,1.0
18777,23.7,73.0,6.8,3.7,0.0,1.0
18778,24.3,71.0,8.1,3.5,0.0,0.0
18779,25.2,68.0,8.4,3.7,0.0,1.0
18780,26.3,69.0,8.4,2.9,0.0,0.0
18781,25.0,77.0,10.2,4.3,0.0,2.0
18782,23.5,77.0,10.4,4.9,0.0,0.0
18783,23.2,78.0,9.5,4.0,0.0,1.0
18784,22.1,85.0,9.0,3.3,0.0,1.0
18785,21.7,87.0,8.0,3.5,0.0,0.0
18786,20.6,92.0,8.1,3.3,0.0,1.0
18787,20.4,95.0,6.7,2.3,0.2,0.0
18788,20.2,91.0,6.6,3.1,0.0,0.0
18789,20.1,92.0,7.0,3.1,0.0,0.0
18790,20.2,92.0,6.1,2.5,0.0,0.0
18791,20.0,92.0,6.4,3.3,0.0,0.0
18792,20.1,93.0,6.4,2.1,0.0,0.0
18793,20.2,92.0,6.6,2.2,0.0,1.0
18794,20.3,92.0,4.9,2.1,0.0,0.0
18795,19.8,94.0,5.2,1.5,0.0,0.0
18796,19.8,95.0,4.3,1.5,0.0,0.0
18797,19.2,96.0,3.6,0.7,0.0,0.0
18798,20.8,90.0,4.0,1.8,0.0,1.0
18799,22.2,80.0,4.7,2.4,0.0,0.0
18800,23.4,71.0,4.7,2.0,0.0,0.0
18801,24.3,71.0,6.5,3.4,0.0,1.0
18802,24.5,73.0,7.0,3.8,0.0,1.0
18803,24.6,72.0,8.2,4.5,0.0,1.0
18804,25.2,75.0,7.9,4.0,0.0,2.0
18805,25.7,74.0,8.2,4.0,0.0,1.0
18806,24.7,76.0,8.8,4.2,0.0,1.0
18807,23.9,77.0,9.5,4.0,0.0,0.0
18808,22.6,82.0,9.9,4.0,0.0,0.0
18809,21.7,88.0,8.9,2.9,0.0,0.0
18810,21.3,90.0,7.1,2.7,0.0,0.0
18811,21.1,90.0,7.1,2.7,0.0,0.0
18812,20.5,91.0,7.1,2.8,0.0,0.0
18813,20.3,92.0,7.0,2.1,0.0,1.0
18814,20.0,93.0,5.2,1.4,0.0,0.0
18815,19.9,89.0,3.5,1.2,0.0,0.0
18816,19.9,85.0,4.7,1.2,0.0,0.0
18817,19.5,87.0,3.4,1.0,0.0,0.0
18818,19.3,89.0,5.0,1.4,0.0,0.0
18819,19.2,90.0,5.2,1.1,0.0,0.0
18820,18.6,93.0,4.2,1.5,0.0,0.0
18821,18.2,95.0,3.7,1.1,0.0,0.0
18822,18.8,92.0,4.1,1.4,0.0,1.0
18823,20.8,80.0,3.2,1.8,0.0,1.0
18824,23.6,68.0,5.2,2.3,0.0,2.0
18825,26.7,60.0,5.2,1.4,0.0,2.0
18826,28.7,55.0,5.7,1.8,0.0,1.0
18827,29.6,54.0,5.7,1.0,0.0,0.0
18828,31.1,40.0,4.6,1.8,0.0,1.0
18829,30.6,40.0,5.7,1.7,0.0,0.0
18830,31.0,34.0,5.8,2.3,0.0,1.0
18831,31.4,33.0,4.8,1.3,0.0,1.0
18832,27.4,67.0,5.8,2.4,0.0,0.0
18833,25.9,68.0,6.9,3.2,0.0,0.0
18834,24.6,76.0,6.5,1.8,0.0,1.0
18835,23.6,79.0,4.5,1.2,0.0,0.0
18836,23.2,78.0,3.1,1.1,0.0,1.0
18837,22.2,83.0,2.0,0.4,0.0,1.0
18838,22.5,84.0,0.9,0.5,0.0,0.0
18839,22.6,81.0,0.9,0.3,0.0,0.0
18840,22.3,82.0,1.8,1.0,0.0,0.0
18841,21.2,87.0,1.8,0.5,0.0,0.0
18842,21.2,92.0,1.4,1.0,0.0,0.0
18843,21.1,96.0,1.9,0.6,0.0,1.0
18844,22.0,70.0,2.4,1.1,0.0,1.0
18845,21.0,78.0,2.0,1.1,0.0,1.0
18846,21.6,79.0,1.7,0.9,0.0,1.0
18847,22.3,84.0,3.3,1.5,0.0,2.0
18848,23.5,81.0,3.5,2.0,0.0,0.0
18849,24.2,76.0,4.3,1.9,0.0,0.0
18850,26.2,66.0,5.0,2.1,0.0,0.0
18851,27.4,62.0,4.8,2.5,0.0,0.0
18852,27.0,70.0,8.6,4.0,0.0,0.0
18853,21.8,97.0,9.3,3.3,6.0,0.0
18854,22.4,96.0,9.9,2.5,0.6,0.0
18855,21.6,93.0,7.3,3.7,0.0,1.0
18856,21.4,94.0,7.0,2.5,0.0,0.0
18857,20.2,94.0,5.7,1.6,1.0,0.0
18858,20.2,98.0,3.9,1.2,3.2,0.0
18859,20.9,97.0,5.5,2.8,0.6,0.0
18860,20.8,95.0,5.4,1.6,0.0,0.0
18861,20.7,91.0,4.5,1.6,0.0,0.0
18862,20.1,93.0,4.7,1.6,0.0,0.0
18863,19.9,96.0,4.1,1.0,0.0,0.0
18864,19.8,91.0,3.0,1.0,0.0,0.0
18865,19.9,93.0,2.7,0.8,0.0,0.0
18866,20.1,96.0,2.6,0.7,0.0,0.0
18867,20.3,96.0,3.8,1.3,0.2,1.0
18868,20.3,95.0,3.8,1.2,0.0,0.0
18869,20.4,96.0,3.2,0.9,0.0,0.0
18870,20.2,95.0,3.8,1.3,0.4,0.0
18871,20.9,93.0,3.8,1.0,0.0,0.0
18872,21.8,88.0,3.4,1.5,0.0,0.0
18873,21.5,90.0,3.3,1.1,0.0,0.0
18874,23.3,84.0,4.4,1.8,0.0,3.0
18875,23.4,80.0,4.4,1.1,0.0,2.0
18876,26.3,71.0,4.9,2.0,0.0,1.0
18877,25.5,71.0,6.4,2.5,0.0,1.0
18878,20.6,93.0,7.4,3.2,0.4,0.0
18879,19.9,97.0,9.2,3.8,7.0,0.0
18880,19.5,97.0,9.8,3.3,0.0,1.0
18881,19.7,94.0,7.4,3.0,0.0,0.0
18882,19.5,91.0,6.4,1.7,0.0,0.0
18883,19.7,94.0,6.6,3.0,0.0,0.0
18884,19.5,92.0,7.7,2.7,0.0,1.0
18885,19.5,94.0,5.7,2.0,0.0,0.0
18886,19.4,94.0,7.3,2.7,0.0,0.0
18887,19.1,95.0,5.8,2.1,0.0,0.0
18888,19.1,93.0,4.7,1.8,0.0,0.0
18889,19.4,93.0,4.2,1.8,0.0,0.0
18890,19.4,93.0,5.2,2.1,0.0,1.0
18891,19.5,93.0,5.2,0.9,0.0,0.0
18892,18.8,97.0,2.3,0.7,0.0,0.0
18893,18.9,97.0,2.7,1.1,0.0,0.0
18894,19.7,93.0,2.6,1.3,0.0,3.0
18895,20.4,92.0,3.2,1.5,0.0,0.0
18896,20.9,88.0,4.1,2.0,0.0,0.0
18897,20.1,95.0,5.3,0.7,1.8,5.0
18898,21.7,91.0,3.2,1.3,0.2,0.0
18899,21.5,91.0,2.7,0.9,0.0,0.0
18900,20.7,91.0,4.2,1.0,4.4,0.0
18901,22.1,90.0,3.6,1.7,0.6,2.0
18902,21.6,89.0,6.4,3.0,0.0,0.0
18903,21.0,91.0,7.0,3.0,0.0,0.0
18904,19.9,95.0,6.7,3.0,0.6,0.0
