,Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
8805,21.5,94.0,6.0,2.1,0.0,1.0
8806,21.2,98.0,4.1,1.3,1.4,0.0
8807,19.9,97.0,4.2,0.7,6.2,0.0
8808,20.5,98.0,3.6,1.5,2.4,0.0
8809,20.3,98.0,3.6,1.4,4.2,1.0
8810,19.4,98.0,3.1,1.7,5.6,0.0
8811,19.3,98.0,3.4,1.7,3.2,0.0
8812,19.3,98.0,3.4,1.1,1.0,1.0
8813,19.0,97.0,4.4,1.3,1.8,1.0
8814,18.9,96.0,4.6,1.3,0.2,1.0
8815,18.9,95.0,5.8,1.6,0.0,2.0
8816,18.8,96.0,5.8,1.5,0.0,2.0
8817,18.9,97.0,4.4,1.7,0.0,2.0
8818,19.3,97.0,4.3,1.4,0.0,1.0
8819,20.0,90.0,5.4,2.3,0.0,2.0
8820,20.7,87.0,6.0,3.3,0.0,2.0
8821,20.4,88.0,7.1,3.2,0.0,1.0
8822,20.2,89.0,6.8,3.1,0.0,1.0
8823,21.6,80.0,7.3,2.8,0.0,2.0
8824,20.9,81.0,7.1,2.3,0.0,1.0
8825,21.7,76.0,8.3,3.9,0.0,0.0
8826,21.8,75.0,7.9,3.3,0.0,1.0
8827,21.1,81.0,9.7,2.5,0.0,0.0
8828,19.7,85.0,8.3,3.9,0.0,0.0
8829,19.8,82.0,8.3,3.2,0.0,2.0
8830,19.2,87.0,6.4,2.6,0.0,0.0
8831,18.7,90.0,6.3,3.1,0.0,1.0
8832,18.3,93.0,5.8,1.7,0.0,0.0
8833,18.5,92.0,4.8,1.6,0.0,0.0
8834,18.4,92.0,3.7,1.5,0.0,0.0
8835,18.2,94.0,3.8,1.4,0.0,1.0
8836,18.1,95.0,3.5,0.7,0.0,0.0
8837,18.1,95.0,3.2,1.2,0.0,0.0
8838,18.4,95.0,3.2,0.6,0.0,0.0
8839,18.5,95.0,2.3,0.8,0.0,0.0
8840,18.6,95.0,2.7,0.6,0.0,1.0
8841,19.1,93.0,1.9,0.7,0.0,1.0
8842,20.1,89.0,2.0,0.7,0.0,2.0
8843,20.2,89.0,2.7,1.4,0.0,0.0
8844,21.8,83.0,3.0,1.2,0.0,1.0
8845,23.0,74.0,2.8,1.1,0.0,0.0
8846,23.3,77.0,3.8,1.4,0.0,2.0
8847,22.3,86.0,3.0,0.6,0.4,0.0
8848,22.3,89.0,1.5,0.6,0.6,0.0
8849,24.2,76.0,4.6,2.0,0.0,0.0
8850,20.5,94.0,10.1,4.3,2.2,3.0
8851,21.7,93.0,10.1,3.4,0.8,0.0
8852,21.2,91.0,7.5,2.6,0.0,0.0
8853,20.2,89.0,8.2,2.7,0.0,0.0
8854,19.5,91.0,6.3,2.8,0.0,0.0
8855,19.3,93.0,7.1,3.1,0.2,0.0
8856,19.3,92.0,6.7,2.6,0.0,0.0
8857,19.0,93.0,7.1,2.5,0.0,0.0
8858,18.8,94.0,5.7,0.6,0.0,0.0
8859,18.8,92.0,3.6,0.9,0.0,0.0
8860,18.9,92.0,3.6,1.1,0.0,0.0
8861,18.4,95.0,2.4,0.9,0.0,0.0
8862,18.6,94.0,2.1,1.2,0.0,0.0
8863,18.0,95.0,2.5,1.0,0.0,1.0
8864,17.4,97.0,1.8,0.6,0.0,0.0
8865,18.0,96.0,1.9,0.8,0.0,0.0
8866,18.4,93.0,2.4,1.0,0.0,2.0
8867,19.3,89.0,2.7,1.4,0.0,1.0
8868,20.6,83.0,2.5,1.0,0.0,0.0
8869,21.6,80.0,3.3,1.3,0.0,0.0
8870,22.1,79.0,2.7,1.4,0.0,1.0
8871,23.0,78.0,2.9,1.2,0.0,0.0
8872,23.2,79.0,2.8,1.7,0.0,0.0
8873,24.7,77.0,4.3,1.8,0.0,2.0
8874,22.3,88.0,7.6,3.4,0.0,1.0
8875,21.2,89.0,7.3,3.3,0.0,0.0
8876,20.6,91.0,8.5,2.9,0.0,1.0
8877,20.1,96.0,5.7,2.1,0.0,2.0
8878,19.7,94.0,6.1,2.3,0.0,0.0
8879,19.8,93.0,4.5,1.7,0.0,0.0
8880,19.5,96.0,4.9,1.2,0.6,0.0
8881,19.9,97.0,3.8,1.2,1.6,0.0
