Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
18.6,84.0,2.3,4.6,0.0,2.0
19.7,81.0,2.4,5.3,0.0,1.0
19.2,81.0,2.1,5.0,0.0,3.0
18.3,91.0,2.4,4.9,0.0,2.0
17.0,95.0,2.3,5.8,0.0,0.0
16.0,100.0,3.1,5.7,0.0,0.0
16.1,100.0,1.4,5.3,0.0,0.0
15.9,99.0,1.5,5.1,0.0,0.0
15.9,100.0,0.9,3.6,0.0,0.0
15.9,100.0,0.5,2.6,0.0,0.0
16.0,100.0,1.1,2.5,0.0,0.0
16.0,100.0,0.8,2.5,0.0,0.0
14.9,100.0,0.7,1.9,0.0,0.0
14.3,100.0,0.8,1.7,0.0,0.0
14.4,100.0,0.7,1.9,0.0,0.0
14.5,100.0,1.0,3.3,0.0,0.0
14.8,100.0,0.7,2.7,0.0,2.0
15.0,100.0,0.8,2.5,0.0,1.0
14.8,100.0,0.9,2.8,0.0,2.0
15.1,100.0,1.2,3.4,0.0,1.0
16.1,93.0,1.2,4.9,0.0,1.0
18.6,81.0,1.5,3.6,0.0,1.0
20.8,69.0,1.8,4.4,0.0,1.0
21.7,59.0,2.1,5.4,0.0,0.0
23.3,49.0,1.1,5.3,0.0,0.0
22.9,48.0,1.5,4.9,0.0,0.0
18.8,93.0,3.6,8.0,0.0,0.0
17.6,89.0,4.3,8.1,0.0,0.0
16.5,96.0,3.2,8.4,0.0,1.0
16.0,100.0,3.0,7.4,0.0,0.0
15.9,99.0,1.9,6.8,0.0,0.0
15.8,99.0,1.9,4.7,0.0,0.0
15.8,100.0,1.5,4.4,0.0,0.0
15.2,100.0,0.8,4.0,0.0,0.0
14.5,100.0,0.5,2.6,0.0,0.0
14.3,100.0,0.6,2.1,0.0,0.0
13.4,100.0,0.7,2.1,0.0,0.0
12.9,100.0,0.6,1.6,0.0,0.0
13.0,100.0,1.3,2.3,0.0,0.0
13.4,100.0,1.1,3.9,0.0,0.0
13.8,100.0,1.0,2.5,0.0,0.0
14.0,99.0,0.6,3.0,0.0,2.0
12.7,100.0,0.6,1.8,0.0,0.0
14.5,91.0,1.3,2.1,0.0,0.0
16.1,86.0,1.2,3.3,0.0,0.0
16.7,82.0,1.6,3.3,0.0,1.0
17.1,80.0,2.8,5.7,0.0,0.0
17.7,74.0,2.8,5.6,0.0,1.0
18.1,78.0,2.1,6.2,0.0,0.0
18.1,74.0,2.7,6.6,0.0,0.0
18.0,75.0,2.3,5.8,0.0,1.0
17.3,77.0,3.2,6.4,0.0,0.0
15.8,85.0,3.2,6.6,0.0,1.0
14.8,91.0,2.9,7.1,0.0,0.0
13.9,100.0,1.5,5.0,0.0,0.0
13.5,100.0,1.5,3.3,0.0,0.0
13.6,100.0,2.0,3.9,0.0,0.0
13.9,100.0,1.8,3.9,0.0,0.0
13.9,100.0,2.2,7.1,0.0,0.0
14.2,100.0,1.8,4.9,0.0,0.0
13.8,100.0,2.3,7.4,0.0,0.0
13.8,100.0,1.7,4.4,0.0,0.0
13.6,100.0,1.2,5.2,0.0,0.0
13.2,100.0,1.7,3.8,0.0,0.0
12.7,100.0,1.4,3.3,0.0,0.0
13.1,100.0,1.8,4.5,0.0,1.0
12.9,100.0,1.2,4.5,0.0,0.0
14.1,99.0,1.8,4.0,0.0,1.0
14.6,94.0,2.0,4.5,0.0,0.0
15.5,86.0,2.7,6.8,0.0,0.0
16.3,80.0,2.4,6.8,0.0,0.0
15.9,86.0,2.2,6.5,0.0,0.0
15.2,89.0,2.8,7.1,0.0,1.0
16.1,78.0,2.9,6.1,0.0,1.0
15.2,90.0,3.5,7.3,0.0,0.0
15.1,87.0,2.9,6.4,0.0,0.0
14.3,95.0,3.6,7.0,0.0,1.0
13.7,98.0,3.1,8.7,0.0,0.0
13.3,98.0,2.2,6.3,0.0,0.0
13.2,96.0,3.1,6.6,0.0,0.0
12.8,98.0,2.3,6.6,0.0,0.0
12.1,99.0,1.2,5.2,0.0,0.0
11.0,100.0,0.7,3.0,0.0,0.0
10.6,100.0,1.1,2.1,0.0,0.0
10.3,100.0,0.7,2.1,0.0,0.0
10.3,100.0,0.5,2.8,0.0,0.0
9.7,100.0,0.9,2.0,0.0,0.0
10.1,100.0,0.8,2.9,0.0,1.0
10.3,100.0,1.0,2.5,0.0,0.0
11.4,99.0,1.3,3.8,0.0,2.0
11.9,97.0,2.2,6.9,0.0,0.0
12.9,90.0,2.0,6.9,0.0,3.0
13.9,85.0,2.2,5.5,0.0,0.0
15.5,80.0,2.6,6.3,0.0,0.0
17.3,68.0,1.5,6.3,0.0,1.0
17.7,64.0,2.3,5.6,0.0,2.0
19.2,54.0,1.5,5.0,0.0,0.0
19.9,53.0,1.1,4.1,0.0,0.0
19.0,66.0,2.3,5.2,0.0,1.0
17.5,78.0,2.2,5.8,0.0,1.0
15.3,92.0,3.3,8.3,0.0,0.0
14.3,99.0,2.1,6.7,0.0,0.0
13.9,100.0,2.2,4.7,0.0,0.0
13.8,100.0,1.8,4.5,0.0,0.0
13.6,99.0,1.7,4.4,0.0,0.0
12.9,100.0,0.8,3.4,0.0,0.0
12.1,100.0,0.3,1.9,0.0,0.0
11.8,100.0,0.4,1.3,0.0,0.0
12.2,100.0,0.8,1.8,0.0,0.0
12.4,100.0,1.1,2.8,0.0,0.0
12.3,97.0,1.7,4.5,0.0,0.0
13.1,91.0,1.0,3.2,0.0,1.0
14.8,84.0,1.5,3.9,0.0,0.0
16.3,74.0,1.8,4.3,0.0,0.0
17.8,65.0,1.6,4.7,0.0,0.0
19.5,53.0,1.4,4.5,0.0,0.0
21.3,54.0,1.7,4.8,0.0,1.0
22.3,43.0,2.5,6.1,0.0,0.0
23.6,40.0,2.1,6.1,0.0,0.0
22.9,37.0,2.8,7.0,0.0,0.0
21.7,36.0,1.2,5.9,0.0,0.0
16.2,71.0,1.1,3.2,0.0,1.0
17.8,64.0,1.0,3.3,0.0,1.0
20.8,44.0,1.9,4.4,0.0,1.0
22.4,39.0,2.8,5.9,0.0,0.0
23.8,33.0,2.5,6.3,0.0,0.0
23.9,31.0,3.9,7.0,0.0,0.0
24.0,34.0,2.6,7.7,0.0,1.0
22.9,36.0,2.6,6.7,0.0,0.0
21.4,38.0,2.1,7.0,0.0,0.0
17.1,55.0,1.5,3.5,0.0,0.0
19.6,46.0,2.1,4.8,0.0,1.0
21.4,36.0,2.4,6.3,0.0,1.0
22.8,34.0,3.0,7.1,0.0,0.0
23.9,33.0,2.2,7.4,0.0,0.0
24.7,28.0,2.5,7.3,0.0,0.0
24.5,26.0,2.6,7.2,0.0,0.0
23.8,29.0,1.8,5.5,0.0,1.0
21.3,36.0,1.4,4.6,0.0,0.0
17.9,60.0,1.8,3.7,0.0,2.0
21.0,43.0,2.5,5.9,0.0,1.0
23.0,37.0,3.0,9.1,0.0,1.0
24.8,31.0,3.5,9.6,0.0,5.0
24.7,31.0,5.0,10.5,0.0,2.0
26.0,29.0,5.2,12.8,0.0,1.0
25.7,30.0,6.0,12.6,0.0,1.0
25.5,32.0,4.0,12.4,0.0,0.0
23.8,34.0,2.7,10.6,0.0,0.0
22.9,39.0,2.3,7.1,0.0,1.0
22.7,40.0,2.0,6.0,0.0,0.0
21.0,50.0,0.8,4.3,0.0,0.0
19.7,66.0,0.4,2.0,0.0,0.0
17.1,96.0,1.3,5.0,0.0,0.0
16.4,100.0,1.3,5.5,0.0,0.0
16.3,100.0,1.1,3.9,0.0,0.0
16.4,100.0,1.4,3.8,0.0,0.0
16.2,100.0,1.1,3.8,0.0,0.0
16.2,100.0,0.6,2.4,0.0,0.0
16.1,100.0,0.6,2.1,0.0,2.0
16.1,100.0,0.6,2.3,0.0,2.0
15.9,100.0,1.2,3.4,0.0,1.0
16.0,100.0,1.6,4.4,0.0,0.0
15.9,100.0,1.6,3.4,1.2,1.0
17.0,100.0,0.7,3.5,0.0,0.0
17.1,100.0,1.0,2.4,0.0,0.0
17.1,100.0,0.9,2.8,0.0,0.0
16.8,100.0,1.0,3.2,0.0,0.0
17.4,98.0,1.2,4.0,0.0,1.0
18.1,96.0,1.7,4.3,0.0,0.0
18.5,88.0,0.6,3.0,0.0,0.0
18.1,94.0,0.8,2.8,0.0,0.0
17.5,99.0,2.0,4.1,0.0,0.0
16.7,100.0,1.8,4.8,0.0,1.0
16.3,100.0,1.9,4.2,0.0,0.0
16.1,100.0,2.1,3.9,0.0,0.0
15.9,100.0,1.7,4.4,0.0,0.0
15.6,100.0,0.7,3.4,0.0,0.0
15.7,100.0,0.8,2.5,0.0,0.0
15.8,100.0,0.9,2.2,0.0,0.0
15.8,100.0,0.8,2.1,0.0,0.0
15.7,100.0,1.2,3.2,0.0,0.0
15.9,100.0,0.9,3.1,0.0,0.0
16.1,100.0,1.2,4.8,0.0,0.0
15.8,100.0,1.2,4.3,0.0,1.0
15.8,100.0,1.5,4.7,0.0,0.0
15.9,100.0,1.0,4.9,0.0,0.0
16.3,100.0,1.0,3.5,0.0,0.0
16.5,100.0,0.7,3.6,0.4,0.0
17.6,100.0,1.6,4.3,0.2,0.0
19.0,96.0,1.8,4.4,0.0,1.0
20.1,90.0,1.5,5.2,0.0,0.0
21.0,86.0,2.0,4.6,0.0,1.0
22.9,75.0,2.2,5.6,0.2,1.0
21.6,81.0,2.0,6.1,0.0,0.0
20.9,87.0,1.7,4.6,0.0,0.0
20.8,83.0,0.8,5.1,0.0,1.0
19.7,90.0,0.7,2.1,0.0,0.0
19.1,93.0,0.3,1.2,0.0,1.0
18.8,98.0,0.6,2.1,0.0,0.0
18.9,98.0,1.3,1.9,0.0,0.0
18.9,97.0,0.8,1.9,0.0,0.0
19.1,96.0,0.5,2.0,0.0,0.0
18.8,97.0,0.7,1.6,0.0,0.0
18.1,100.0,0.2,2.0,0.0,1.0
17.9,100.0,0.9,1.9,0.0,0.0
17.7,100.0,0.3,1.7,0.0,0.0
17.1,100.0,0.9,2.2,0.0,0.0
17.3,100.0,0.9,2.2,0.0,0.0
17.0,100.0,0.3,1.7,0.0,1.0
16.8,100.0,0.5,1.0,0.0,1.0
17.3,100.0,0.7,1.3,0.0,0.0
19.4,95.0,1.4,3.2,0.0,0.0
22.0,81.0,1.2,3.2,0.0,1.0
24.6,60.0,0.8,2.8,0.0,1.0
26.6,53.0,0.6,3.3,0.0,0.0
26.6,62.0,0.6,2.8,0.0,1.0
26.5,51.0,0.7,3.8,0.0,0.0
19.0,100.0,3.3,6.7,0.0,0.0
18.0,100.0,3.1,6.9,0.0,0.0
17.7,100.0,1.8,5.6,0.0,1.0
17.4,100.0,1.7,4.0,0.0,1.0
17.1,100.0,1.8,4.1,0.0,0.0
17.1,100.0,1.5,3.5,0.0,0.0
17.1,100.0,1.4,3.4,0.0,0.0
17.0,100.0,1.3,4.1,0.0,0.0
17.1,100.0,1.0,3.4,0.0,0.0
17.0,100.0,0.7,2.2,0.0,0.0
16.9,100.0,0.8,1.3,0.0,0.0
16.9,100.0,0.8,1.9,0.0,0.0
16.9,100.0,2.4,4.8,0.0,0.0
16.7,100.0,1.8,4.8,0.0,1.0
17.0,100.0,1.5,4.6,0.0,0.0
17.0,100.0,0.8,3.1,0.0,1.0
17.5,100.0,1.1,2.7,0.0,0.0
18.2,98.0,1.2,3.9,0.0,0.0
20.6,85.0,1.4,4.8,0.0,0.0
23.2,73.0,1.6,4.8,0.0,1.0
25.6,48.0,2.2,5.4,0.0,0.0
27.2,42.0,2.3,6.1,0.0,0.0
27.7,31.0,3.4,8.1,0.0,1.0
27.9,27.0,3.6,8.9,0.0,1.0
27.8,25.0,3.3,10.3,0.0,0.0
25.4,35.0,2.1,8.6,0.0,0.0
23.4,41.0,1.8,5.8,0.0,0.0
22.4,44.0,1.3,4.4,0.0,0.0
21.9,47.0,1.5,5.0,0.0,0.0
21.3,50.0,1.2,5.1,0.0,0.0
21.0,53.0,1.6,4.8,0.0,0.0
22.9,38.0,4.2,9.1,0.0,0.0
22.6,37.0,3.8,10.1,0.0,4.0
21.2,42.0,2.5,10.4,0.0,4.0
21.3,41.0,1.9,6.4,0.0,1.0
21.7,41.0,2.4,5.9,0.0,0.0
18.9,72.0,5.1,13.5,0.0,0.0
18.0,79.0,3.7,12.2,0.0,2.0
18.5,74.0,3.9,9.4,0.0,1.0
18.7,73.0,4.2,11.9,0.0,5.0
19.6,69.0,5.2,13.4,0.0,1.0
21.1,61.0,5.5,12.9,0.0,3.0
22.0,52.0,5.5,15.1,0.0,6.0
23.2,36.0,6.4,16.2,0.0,4.0
24.1,24.0,7.4,19.5,0.0,2.0
25.2,19.0,6.4,17.2,0.0,1.0
25.8,12.0,5.9,19.4,0.0,3.0
25.2,11.0,6.0,14.6,0.0,1.0
24.3,13.0,6.5,16.2,0.0,0.0
22.7,15.0,5.9,14.3,0.0,2.0
20.9,21.0,3.2,14.3,0.0,1.0
19.9,22.0,3.8,8.3,0.0,0.0
19.5,25.0,3.2,8.3,0.0,1.0
18.5,34.0,2.0,7.3,0.0,0.0
17.6,46.0,1.4,5.3,0.0,1.0
17.1,54.0,2.4,4.9,0.0,0.0
16.4,63.0,1.4,4.9,0.0,0.0
14.5,71.0,2.5,8.3,0.0,0.0
12.9,72.0,1.8,7.2,0.0,0.0
12.3,74.0,1.6,7.1,0.0,0.0
11.5,74.0,1.6,5.6,0.0,3.0
10.7,75.0,1.3,6.1,0.0,1.0
10.6,75.0,1.0,3.8,0.0,1.0
12.4,63.0,2.0,5.2,0.0,3.0
13.5,59.0,1.5,5.1,0.0,0.0
13.3,58.0,2.3,6.8,0.0,1.0
14.0,51.0,2.6,6.1,0.0,0.0
14.8,50.0,2.8,6.0,0.0,1.0
14.8,51.0,2.5,6.9,0.0,1.0
14.4,54.0,2.9,6.4,0.0,2.0
14.5,56.0,2.4,6.2,0.0,2.0
13.4,67.0,2.4,4.9,0.0,2.0
11.8,79.0,3.3,6.1,0.0,0.0
10.8,93.0,2.3,6.1,0.0,0.0
10.6,96.0,2.8,5.4,0.0,0.0
10.9,96.0,1.8,5.2,0.0,0.0
11.4,98.0,1.7,3.8,0.0,0.0
11.3,98.0,1.9,3.8,0.0,0.0
11.2,98.0,1.8,4.1,0.0,1.0
10.8,100.0,1.5,4.4,0.0,0.0
11.2,100.0,1.8,6.2,0.0,0.0
11.3,97.0,1.7,4.6,0.0,0.0
10.7,100.0,1.6,4.0,0.0,0.0
10.1,100.0,1.1,3.8,0.0,0.0
14.5,71.0,2.6,5.7,0.0,0.0
15.9,63.0,2.4,6.4,0.0,0.0
17.2,61.0,1.8,6.1,0.0,0.0
17.7,53.0,2.1,5.4,0.0,2.0
18.5,46.0,1.8,4.3,0.0,1.0
19.0,40.0,1.3,3.6,0.0,1.0
16.6,76.0,2.7,5.5,0.0,1.0
15.1,86.0,2.7,5.1,0.0,1.0
13.4,98.0,3.2,6.8,0.0,0.0
13.2,98.0,2.9,6.4,0.0,0.0
13.2,97.0,1.9,4.9,0.0,0.0
13.3,97.0,1.7,3.6,0.0,0.0
12.7,99.0,2.0,4.5,0.0,0.0
11.9,100.0,1.2,3.5,0.0,0.0
11.1,100.0,0.5,1.2,0.0,1.0
10.5,100.0,0.6,1.5,0.0,0.0
12.2,100.0,0.8,4.6,0.2,3.0
13.6,93.0,1.0,2.6,0.0,0.0
15.6,78.0,1.2,2.5,0.0,0.0
19.0,63.0,2.4,4.4,0.0,2.0
20.7,49.0,1.9,4.9,0.0,2.0
23.6,31.0,2.2,5.6,0.0,0.0
24.0,33.0,2.2,5.6,0.0,0.0
23.0,30.0,3.4,7.1,0.0,0.0
22.9,27.0,1.5,5.8,0.0,0.0
22.2,30.0,1.5,4.4,0.0,2.0
20.8,35.0,0.8,3.4,0.0,2.0
17.5,71.0,1.0,2.2,0.0,0.0
16.0,90.0,0.7,1.9,0.0,0.0
15.8,99.0,0.6,1.0,0.0,0.0
15.9,100.0,0.6,1.5,0.0,0.0
15.9,96.0,0.3,1.9,0.0,0.0
15.7,97.0,0.8,1.2,0.0,0.0
16.2,88.0,0.9,1.6,0.0,0.0
15.2,92.0,1.1,3.4,0.0,0.0
15.0,96.0,0.9,2.1,0.0,1.0
15.0,96.0,0.4,2.1,0.0,0.0
14.4,97.0,0.4,2.5,0.0,0.0
14.7,90.0,1.1,3.0,0.0,0.0
14.1,96.0,1.7,3.3,0.0,0.0
14.1,100.0,1.2,3.7,0.0,1.0
15.8,93.0,1.9,3.7,0.0,0.0
16.9,85.0,1.7,3.7,0.0,1.0
17.5,83.0,1.7,4.2,0.0,0.0
19.7,71.0,1.8,3.7,0.0,0.0
20.6,69.0,2.0,4.6,0.0,1.0
21.5,64.0,1.9,4.2,0.0,1.0
21.3,66.0,2.2,4.1,0.0,1.0
18.1,91.0,3.9,7.4,0.0,0.0
15.9,100.0,3.1,7.4,0.0,1.0
15.0,100.0,2.2,6.4,0.0,0.0
14.5,100.0,2.5,5.4,0.0,0.0
14.7,100.0,1.4,4.6,0.0,0.0
14.5,100.0,1.5,3.5,0.0,0.0
14.6,100.0,1.1,2.9,0.0,0.0
14.7,100.0,0.7,2.3,0.0,1.0
14.7,100.0,1.0,3.0,0.0,0.0
15.1,100.0,1.5,3.0,0.0,0.0
14.9,100.0,0.8,2.8,0.0,0.0
14.9,100.0,1.4,2.7,0.0,0.0
14.6,100.0,1.9,5.6,0.0,0.0
14.5,100.0,1.8,5.6,0.0,0.0
14.5,100.0,1.9,4.5,0.0,0.0
14.6,100.0,1.5,4.4,0.0,0.0
14.8,100.0,1.3,3.3,0.0,1.0
15.1,100.0,2.0,6.0,0.2,0.0
15.4,100.0,2.5,5.1,0.0,0.0
16.0,99.0,2.4,5.5,0.0,1.0
16.8,90.0,2.5,5.7,0.0,0.0
16.0,96.0,2.7,5.7,0.0,3.0
15.9,98.0,1.5,5.0,0.0,0.0
15.8,96.0,3.0,6.9,0.0,2.0
15.0,98.0,2.3,6.1,0.0,0.0
14.6,100.0,2.4,7.1,0.0,0.0
14.1,100.0,3.3,7.2,0.0,3.0
14.0,100.0,3.4,7.1,0.0,0.0
13.9,100.0,2.2,6.7,0.0,0.0
13.8,100.0,2.4,5.6,0.0,1.0
13.7,100.0,2.3,5.2,0.0,0.0
13.6,100.0,2.7,5.1,0.0,0.0
13.6,100.0,1.9,5.6,0.0,5.0
13.4,100.0,1.4,4.4,0.0,0.0
13.4,100.0,1.9,4.4,0.0,0.0
13.5,100.0,1.8,4.4,0.0,0.0
13.5,100.0,2.4,5.4,0.0,0.0
13.5,100.0,1.8,6.2,0.0,0.0
13.5,100.0,2.0,3.9,0.0,2.0
13.5,100.0,2.2,4.8,0.2,0.0
13.8,100.0,3.0,7.1,0.0,0.0
14.1,100.0,2.8,7.1,0.0,0.0
15.2,100.0,3.4,6.3,0.0,1.0
15.3,100.0,3.3,6.3,0.0,1.0
14.7,100.0,3.1,5.8,0.2,1.0
15.2,100.0,3.4,6.8,0.2,1.0
16.0,99.0,3.5,7.5,0.0,0.0
15.1,100.0,3.8,8.9,0.0,1.0
14.5,100.0,3.3,8.7,0.2,0.0
14.5,100.0,2.9,7.9,0.0,0.0
13.8,100.0,3.9,9.2,0.0,0.0
13.9,100.0,2.9,8.1,0.0,0.0
14.0,100.0,3.2,8.4,0.0,0.0
14.1,100.0,3.1,7.4,0.0,0.0
14.3,100.0,3.1,7.4,0.0,5.0
14.0,100.0,2.9,8.0,0.0,0.0
13.9,100.0,2.2,6.7,0.0,0.0
14.0,100.0,1.8,5.6,0.0,0.0
13.8,100.0,2.3,6.4,0.0,0.0
13.8,100.0,2.6,6.1,0.0,1.0
13.8,100.0,2.4,5.9,0.0,0.0
14.0,100.0,2.9,6.5,0.0,2.0
14.1,100.0,2.4,6.5,0.0,1.0
14.1,100.0,2.5,5.9,0.0,0.0
14.4,100.0,2.1,6.1,0.0,0.0
15.0,99.0,3.0,5.7,0.0,2.0
16.0,91.0,2.9,6.6,0.0,0.0
17.7,79.0,2.6,8.9,0.0,2.0
18.4,78.0,2.8,7.1,0.0,0.0
18.6,85.0,2.6,6.5,0.0,0.0
17.5,94.0,4.6,8.7,0.0,0.0
17.0,95.0,4.6,8.7,0.0,0.0
15.8,100.0,3.7,8.3,0.0,0.0
15.4,100.0,3.4,7.1,0.0,0.0
15.0,100.0,2.6,6.4,0.0,0.0
14.9,100.0,2.5,6.2,0.0,0.0
14.8,100.0,2.1,5.6,0.0,0.0
14.8,100.0,1.7,4.6,0.0,0.0
14.9,100.0,1.6,4.2,0.0,0.0
15.0,100.0,1.2,3.2,0.0,0.0
15.2,100.0,1.4,3.0,0.0,0.0
15.2,100.0,0.9,2.9,0.0,0.0
15.4,97.0,1.6,4.7,0.0,0.0
15.0,100.0,0.9,4.7,0.0,0.0
14.6,100.0,1.2,3.4,0.0,0.0
15.3,97.0,1.6,5.2,0.0,0.0
15.4,96.0,1.9,5.0,0.0,0.0
15.2,95.0,1.9,5.5,0.0,2.0
15.5,93.0,2.2,4.9,0.0,2.0
16.8,86.0,1.8,5.3,0.0,2.0
17.8,81.0,1.7,5.3,0.0,1.0
19.4,75.0,1.8,4.5,0.0,0.0
20.8,67.0,1.3,4.0,0.0,0.0
21.6,63.0,1.3,3.9,0.0,3.0
22.5,57.0,1.4,3.6,0.0,0.0
21.9,67.0,2.3,4.6,0.0,0.0
18.2,96.0,3.7,8.2,0.0,0.0
16.3,100.0,3.6,7.9,0.0,0.0
15.6,100.0,3.1,7.6,0.0,0.0
15.5,100.0,2.7,5.8,0.0,0.0
15.4,100.0,2.0,4.4,0.0,0.0
15.2,100.0,1.5,3.8,0.0,0.0
15.2,100.0,1.3,3.3,0.0,0.0
15.3,100.0,0.8,3.0,0.0,0.0
15.4,100.0,1.0,3.1,0.0,0.0
16.0,97.0,1.8,4.8,0.0,0.0
15.4,98.0,1.8,5.5,0.0,0.0
14.6,100.0,1.4,5.0,0.0,0.0
14.6,99.0,1.7,4.5,0.0,0.0
14.6,100.0,1.6,5.8,0.0,0.0
14.4,100.0,1.6,6.7,0.0,1.0
14.1,100.0,1.8,5.0,0.0,0.0
14.4,100.0,1.5,5.0,0.0,1.0
14.5,100.0,1.4,4.3,0.0,0.0
15.0,97.0,1.9,6.6,0.0,0.0
16.8,92.0,1.8,4.6,0.0,1.0
18.5,79.0,1.6,4.7,0.0,0.0
18.8,77.0,1.7,4.7,0.0,0.0
20.3,67.0,1.4,3.7,0.0,0.0
21.3,61.0,1.3,2.9,0.0,1.0
21.6,58.0,1.3,2.6,0.0,0.0
19.3,85.0,1.9,5.0,0.0,0.0
17.3,100.0,1.6,4.1,0.0,0.0
15.7,100.0,3.2,5.8,0.0,0.0
15.4,100.0,2.2,5.2,0.0,0.0
15.3,100.0,0.8,3.8,0.0,0.0
15.1,100.0,0.3,1.7,0.0,0.0
14.3,100.0,0.3,0.8,0.0,1.0
14.4,100.0,0.8,1.3,0.0,1.0
14.9,100.0,0.7,1.8,0.0,0.0
14.2,100.0,0.9,2.5,0.0,0.0
14.3,100.0,1.3,3.2,0.0,0.0
14.0,100.0,1.2,3.2,0.0,0.0
13.9,98.0,1.5,5.0,0.0,1.0
13.4,99.0,1.1,3.3,0.0,2.0
13.2,100.0,0.9,3.3,0.0,0.0
15.3,89.0,1.1,2.6,0.0,1.0
17.4,78.0,1.5,5.4,0.0,0.0
20.0,66.0,1.6,5.4,0.0,1.0
21.7,58.0,1.3,4.3,0.0,0.0
23.3,47.0,1.6,4.5,0.0,0.0
24.8,42.0,1.3,4.8,0.0,0.0
25.4,37.0,0.9,3.6,0.0,0.0
26.0,31.0,0.6,3.7,0.0,0.0
24.4,38.0,2.1,4.8,0.0,0.0
21.9,59.0,1.9,5.5,0.0,0.0
20.2,74.0,0.7,3.5,0.0,0.0
18.4,86.0,0.5,1.6,0.0,0.0
18.4,90.0,0.4,1.1,0.0,0.0
18.2,89.0,0.5,0.8,0.0,0.0
17.7,98.0,0.7,1.1,0.0,0.0
17.8,85.0,1.1,1.6,0.0,0.0
18.1,75.0,1.0,2.1,0.0,0.0
17.1,80.0,1.0,2.1,0.0,0.0
17.2,74.0,1.0,2.4,0.0,0.0
16.1,80.0,0.8,2.3,0.0,0.0
14.9,88.0,0.3,1.7,0.0,0.0
14.6,97.0,0.4,1.5,0.0,0.0
15.8,83.0,0.9,1.9,0.0,0.0
14.9,88.0,1.0,2.4,0.0,0.0
17.0,72.0,1.1,2.8,0.0,0.0
19.7,65.0,1.3,4.0,0.0,0.0
21.4,64.0,1.6,5.4,0.0,2.0
22.5,53.0,1.3,4.6,0.0,0.0
24.0,44.0,1.4,4.0,0.0,1.0
24.8,37.0,2.1,5.9,0.0,0.0
25.9,30.0,1.6,5.9,0.0,0.0
25.0,31.0,1.2,3.7,0.0,2.0
23.8,46.0,1.2,4.1,0.0,0.0
21.4,56.0,2.8,6.5,0.0,2.0
20.2,68.0,1.1,4.9,0.0,0.0
19.2,78.0,1.1,3.1,0.0,0.0
18.1,84.0,0.8,3.1,0.0,0.0
17.9,86.0,0.2,1.4,0.0,0.0
17.1,97.0,0.5,1.6,0.0,0.0
16.5,100.0,0.9,1.9,0.0,0.0
16.6,100.0,0.7,1.9,0.0,0.0
15.6,100.0,0.4,1.5,0.0,0.0
15.6,100.0,1.2,1.9,0.0,0.0
15.1,100.0,0.2,1.8,0.0,0.0
14.8,100.0,0.5,0.8,0.0,0.0
14.5,100.0,0.4,1.0,0.0,1.0
14.8,100.0,1.0,2.2,0.0,3.0
14.4,100.0,0.7,1.9,0.0,2.0
16.8,80.0,1.0,2.2,0.2,1.0
20.3,67.0,1.2,3.7,0.0,0.0
22.5,55.0,1.1,4.3,0.0,0.0
24.5,50.0,1.2,4.3,0.0,0.0
25.3,36.0,1.5,3.7,0.0,0.0
25.6,31.0,1.3,3.8,0.0,1.0
26.3,30.0,1.4,4.1,0.0,1.0
24.3,34.0,1.4,5.8,0.0,1.0
23.7,35.0,0.6,3.9,0.0,0.0
24.3,31.0,1.1,2.2,0.0,0.0
20.9,66.0,1.4,3.5,0.0,1.0
19.5,71.0,0.9,3.0,0.0,0.0
17.6,84.0,0.7,1.8,0.0,1.0
17.1,92.0,0.8,1.8,0.0,0.0
16.6,97.0,0.5,1.3,0.0,0.0
16.0,100.0,0.3,0.9,0.0,0.0
15.4,97.0,0.5,1.9,0.0,0.0
15.1,100.0,0.4,0.9,0.0,0.0
14.8,100.0,0.7,1.3,0.0,0.0
14.3,100.0,0.3,1.5,0.0,0.0
14.4,100.0,0.7,1.0,0.0,1.0
14.2,100.0,0.6,1.0,0.0,1.0
14.0,100.0,0.8,1.4,0.0,1.0
14.5,98.0,0.5,1.5,0.0,1.0
15.8,93.0,1.3,2.5,0.0,3.0
19.1,78.0,1.4,2.7,0.0,1.0
22.6,55.0,1.9,5.0,0.0,1.0
24.2,44.0,3.6,6.0,0.0,1.0
25.9,35.0,2.8,6.5,0.0,1.0
27.3,32.0,2.7,7.2,0.0,1.0
27.4,29.0,3.2,8.3,0.0,0.0
27.6,27.0,3.8,9.4,0.0,1.0
26.8,32.0,3.1,7.7,0.0,0.0
25.4,35.0,2.6,7.3,0.0,0.0
22.5,44.0,1.0,5.5,0.0,0.0
21.4,51.0,0.5,2.3,0.0,0.0
21.0,55.0,0.2,1.0,0.0,0.0
19.2,64.0,0.3,0.7,0.0,0.0
18.7,73.0,0.4,0.7,0.0,0.0
17.6,82.0,0.3,0.9,0.0,0.0
17.2,85.0,1.6,2.0,0.0,0.0
17.0,89.0,0.9,2.0,0.0,0.0
16.3,99.0,0.4,1.1,0.0,0.0
17.2,91.0,0.9,1.7,0.0,0.0
17.2,87.0,1.0,1.7,0.0,0.0
16.7,90.0,1.2,2.2,0.0,0.0
16.5,92.0,1.2,3.0,0.0,0.0
