Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
17.1,100.0,2.3,6.3,0.0,1.0
17.5,100.0,2.7,5.2,0.0,0.0
17.6,100.0,2.9,5.5,0.0,0.0
18.6,99.0,2.1,5.2,0.0,0.0
19.5,96.0,2.6,6.0,0.0,1.0
19.5,99.0,2.6,5.7,0.0,0.0
19.9,96.0,2.8,5.7,0.0,0.0
20.4,93.0,2.1,7.1,0.0,1.0
19.8,97.0,2.5,6.8,0.0,0.0
20.9,92.0,3.1,6.5,0.0,0.0
20.1,96.0,3.3,8.2,0.0,1.0
19.4,100.0,2.9,7.4,0.0,1.0
18.8,100.0,2.7,6.6,0.0,1.0
18.9,100.0,2.3,5.6,0.0,0.0
18.5,100.0,3.2,5.7,0.0,0.0
18.5,100.0,1.4,5.5,0.0,0.0
18.2,100.0,2.2,5.3,0.0,0.0
18.2,100.0,2.2,5.0,0.0,0.0
18.0,100.0,2.2,5.6,0.0,0.0
17.9,100.0,2.0,4.7,0.0,0.0
17.6,100.0,1.6,4.5,0.0,0.0
17.9,100.0,1.2,3.2,0.0,0.0
17.8,100.0,0.7,2.9,0.0,0.0
17.9,100.0,0.8,1.9,0.0,0.0
18.1,100.0,0.6,1.5,0.0,0.0
19.1,100.0,0.9,2.3,0.0,0.0
19.9,97.0,1.2,3.5,0.0,0.0
20.5,95.0,0.3,2.7,0.0,0.0
21.6,94.0,0.6,2.8,0.0,0.0
21.9,93.0,1.9,4.5,0.0,0.0
22.1,94.0,1.0,4.5,0.0,0.0
21.4,100.0,0.9,2.5,0.6,0.0
22.2,98.0,1.1,2.1,0.0,0.0
21.0,100.0,2.1,6.2,0.4,0.0
20.0,100.0,1.8,4.2,0.4,0.0
19.9,100.0,1.4,4.3,0.2,1.0
19.8,100.0,1.1,3.1,0.2,0.0
19.7,100.0,1.3,3.0,0.0,0.0
19.6,100.0,0.9,2.9,0.0,0.0
19.5,100.0,0.8,2.6,0.0,0.0
19.5,100.0,1.6,3.5,0.0,0.0
19.5,100.0,0.6,3.5,0.0,0.0
19.5,100.0,0.4,1.9,0.0,0.0
19.5,100.0,0.7,2.4,0.0,0.0
19.1,100.0,0.9,1.9,0.0,0.0
19.2,100.0,0.4,1.8,0.0,0.0
19.2,100.0,0.4,1.3,0.0,1.0
19.1,100.0,0.5,1.6,0.0,0.0
19.3,100.0,0.6,1.5,0.0,2.0
19.9,100.0,0.7,1.4,0.0,1.0
20.9,100.0,1.7,3.6,0.0,1.0
21.6,96.0,3.4,6.5,0.0,3.0
20.4,100.0,2.3,7.0,0.4,0.0
20.6,100.0,1.1,5.3,1.6,2.0
23.0,94.0,1.9,4.5,0.2,0.0
24.1,85.0,3.0,7.2,0.0,0.0
26.2,72.0,2.8,7.0,0.0,0.0
26.8,60.0,3.9,8.5,0.0,1.0
27.0,59.0,4.4,9.5,0.0,2.0
26.4,63.0,3.0,8.8,0.0,2.0
25.7,62.0,1.8,7.1,0.0,0.0
23.3,77.0,1.4,6.4,0.0,0.0
22.9,82.0,1.3,4.4,0.0,0.0
21.4,89.0,1.5,5.6,0.0,0.0
18.8,100.0,0.8,6.0,0.0,0.0
18.9,100.0,0.8,2.8,0.0,0.0
18.8,100.0,1.6,3.6,0.0,0.0
18.8,100.0,1.0,3.5,0.0,0.0
18.7,100.0,0.7,2.7,0.0,0.0
18.8,100.0,1.5,3.6,0.0,0.0
18.3,100.0,1.0,3.4,0.0,0.0
18.2,100.0,0.9,2.7,0.0,0.0
